kind	path_a	path_b	evidence
ast_similarity	flyff_farming_recorder/position/AggregateMonsterRootScan.py	foreground_vision_bot/position/AggregateMonsterRootScan.py	ratio=1.000000;tokens=23965,23965
ast_similarity	flyff_farming_recorder/position/AnchoredPointerDiscovery.py	foreground_vision_bot/position/AnchoredPointerDiscovery.py	ratio=1.000000;tokens=53708,53708
ast_similarity	flyff_farming_recorder/position/AuthoritativeActorDiscovery.py	foreground_vision_bot/position/AuthoritativeActorDiscovery.py	ratio=0.999435;tokens=38002,38045
ast_similarity	flyff_farming_recorder/position/AutonomousPointerSelection.py	foreground_vision_bot/position/AutonomousPointerSelection.py	ratio=1.000000;tokens=8599,8599
ast_similarity	flyff_farming_recorder/position/IndependentMonsterRediscovery.py	foreground_vision_bot/position/IndependentMonsterRediscovery.py	ratio=1.000000;tokens=9343,9343
ast_similarity	flyff_farming_recorder/position/NativeAccessTracer.py	foreground_vision_bot/position/NativeAccessTracer.py	ratio=1.000000;tokens=34318,34318
ast_similarity	flyff_farming_recorder/position/NativeFlyffMonsterProvider.py	foreground_vision_bot/position/NativeFlyffMonsterProvider.py	ratio=1.000000;tokens=38653,38653
ast_similarity	flyff_farming_recorder/position/NativeFlyffPositionProvider.py	foreground_vision_bot/position/NativeFlyffPositionProvider.py	ratio=1.000000;tokens=12969,12969
ast_similarity	flyff_farming_recorder/position/NativePointerRecovery.py	foreground_vision_bot/position/NativePointerRecovery.py	ratio=1.000000;tokens=81941,81941
ast_similarity	flyff_farming_recorder/position/NativeTraceTargets.py	foreground_vision_bot/position/NativeTraceTargets.py	ratio=0.987067;tokens=14232,14376
ast_similarity	flyff_farming_recorder/position/PointerScanWorkflow.py	foreground_vision_bot/position/PointerScanWorkflow.py	ratio=1.000000;tokens=20125,20125
ast_similarity	flyff_farming_recorder/position/PositionConfig.py	foreground_vision_bot/position/PositionConfig.py	ratio=1.000000;tokens=7280,7280
ast_similarity	flyff_farming_recorder/position/PositionProvider.py	foreground_vision_bot/position/PositionProvider.py	ratio=1.000000;tokens=509,509
ast_similarity	flyff_farming_recorder/position/RecoveredNativeProfile.py	foreground_vision_bot/position/RecoveredNativeProfile.py	ratio=1.000000;tokens=29213,29213
ast_similarity	flyff_farming_recorder/position/Win32ProcessMemory.py	foreground_vision_bot/position/Win32ProcessMemory.py	ratio=1.000000;tokens=17608,17608
ast_similarity	flyff_farming_recorder/position/__init__.py	foreground_vision_bot/position/__init__.py	ratio=1.000000;tokens=1203,1203
ast_similarity	flyff_farming_recorder/position/attachment_factory.py	foreground_vision_bot/position/attachment_factory.py	ratio=1.000000;tokens=2305,2305
ast_similarity	flyff_farming_recorder/position/factory.py	foreground_vision_bot/position/factory.py	ratio=1.000000;tokens=853,853
ast_similarity	flyff_farming_recorder/position/monster_factory.py	foreground_vision_bot/position/monster_factory.py	ratio=1.000000;tokens=1324,1324
ast_similarity	flyff_farming_recorder/position/native_diagnostics.py	foreground_vision_bot/position/native_diagnostics.py	ratio=1.000000;tokens=17220,17220
ast_similarity	flyff_farming_recorder/position/native_process_service.py	foreground_vision_bot/position/native_process_service.py	ratio=0.992174;tokens=26369,26785
ast_similarity	flyff_farming_recorder/tests/conftest.py	flyff_farming_simulator/tests/conftest.py	ratio=1.000000;tokens=270,270
ast_similarity	flyff_farming_simulator/RUN_CANONICAL_ADVANCED.py	flyff_farming_simulator/RUN_CANONICAL_INTERMEDIATE.py	ratio=0.971770;tokens=14442,14357
ast_similarity	flyff_farming_simulator/farming/actions.py	foreground_vision_bot/farming/actions.py	ratio=1.000000;tokens=5738,5738
ast_similarity	flyff_farming_simulator/farming/map_masks.py	foreground_vision_bot/farming/map_masks.py	ratio=1.000000;tokens=2608,2608
ast_similarity	flyff_farming_simulator/farming/model_contract.py	foreground_vision_bot/farming/model_contract.py	ratio=1.000000;tokens=10868,10868
ast_similarity	flyff_farming_simulator/farming/reward.py	foreground_vision_bot/farming/reward.py	ratio=1.000000;tokens=7199,7199
ast_similarity	flyff_farming_simulator/farming/session.py	foreground_vision_bot/farming/session.py	ratio=1.000000;tokens=5880,5880
ast_similarity	flyff_farming_simulator/run_fair_time_simulator.py	flyff_farming_simulator/run_reward_audited_simulator.py	ratio=1.000000;tokens=91,91
ast_similarity	flyff_farming_simulator/run_fair_time_simulator.py	flyff_farming_simulator/run_simulator.py	ratio=0.989011;tokens=91,91
ast_similarity	flyff_farming_simulator/run_reward_audited_simulator.py	flyff_farming_simulator/run_simulator.py	ratio=0.989011;tokens=91,91
exact_sha256	flyff_farming_recorder/position/AggregateMonsterRootScan.py	foreground_vision_bot/position/AggregateMonsterRootScan.py	2ad84dd814c019826a2e3d881f0a964cd707c7537c474b536e2404f7bb148e0c
exact_sha256	flyff_farming_recorder/position/AnchoredPointerDiscovery.py	foreground_vision_bot/position/AnchoredPointerDiscovery.py	ca080a6361fabc24af746c75d0061351c7024003b415f27cc66a7b6e414e7f26
exact_sha256	flyff_farming_recorder/position/AutonomousPointerSelection.py	foreground_vision_bot/position/AutonomousPointerSelection.py	ee06245aa6d6b1679aedc7b1b1f2ea39ee096f2267815f20a7cc87a0fa0ac07f
exact_sha256	flyff_farming_recorder/position/IndependentMonsterRediscovery.py	foreground_vision_bot/position/IndependentMonsterRediscovery.py	20685426a7544317a5d4a9f2ae14d7cf418cd26957523e51578837bd178da65c
exact_sha256	flyff_farming_recorder/position/NativeAccessTracer.py	foreground_vision_bot/position/NativeAccessTracer.py	5de6627ab151ac36a0745fea9cdbf094422b69ac0d74ff1434c2f78482e4f3e4
exact_sha256	flyff_farming_recorder/position/NativeFlyffMonsterProvider.py	foreground_vision_bot/position/NativeFlyffMonsterProvider.py	28fada0659faed5a61f00a929b06c8c3b1b054e87bf44feff7159bb98f2d54b8
exact_sha256	flyff_farming_recorder/position/NativeFlyffPositionProvider.py	foreground_vision_bot/position/NativeFlyffPositionProvider.py	919398664059f087eeae2754491066d4da774f9241bd5b5fb15e2ddd7c0c5743
exact_sha256	flyff_farming_recorder/position/NativePointerRecovery.py	foreground_vision_bot/position/NativePointerRecovery.py	cda35585b6b5b36d16bfd96963993bd57880859bf5b6e0851a34a0bc230a2882
exact_sha256	flyff_farming_recorder/position/PointerScanWorkflow.py	foreground_vision_bot/position/PointerScanWorkflow.py	f5a6e8feadbecccde4c4c967924dde9d73b927610ac6f2b5fd0fe0b520ee63c7
exact_sha256	flyff_farming_recorder/position/PositionConfig.py	foreground_vision_bot/position/PositionConfig.py	431034c982e2e76703965958666d880e48a9bbf06cf424c47d7455eb5e67a8e2
exact_sha256	flyff_farming_recorder/position/PositionProvider.py	foreground_vision_bot/position/PositionProvider.py	a69f287546631805eb4d2bf656730cc1c1f5f6c26ab7f9120e1966d9b3ec6a1e
exact_sha256	flyff_farming_recorder/position/Win32ProcessMemory.py	foreground_vision_bot/position/Win32ProcessMemory.py	20ed804022d904feff5a4ca5ec12cffbab8a2725fa0cd4456c5981264607aefb
exact_sha256	flyff_farming_recorder/position/__init__.py	foreground_vision_bot/position/__init__.py	bf866afeb3de230aaf60f327d3b98b95a25c62fd1ecd7ee19541537c4c96e12b
exact_sha256	flyff_farming_recorder/position/attachment_factory.py	foreground_vision_bot/position/attachment_factory.py	8613d4292a17743ec4ddf4963b70a88182f90ef47447f88d61f66b616c59082e
exact_sha256	flyff_farming_recorder/position/factory.py	foreground_vision_bot/position/factory.py	a8ea9dc12d206fd0e16226063e4909b13daadff396c3e7c7b1bb95c6fafdbd3d
exact_sha256	flyff_farming_recorder/position/monster_factory.py	foreground_vision_bot/position/monster_factory.py	304a6755808435d911a189d371f3c24966ab01e56255e36a8f171845e6761823
exact_sha256	flyff_farming_recorder/position/native_diagnostics.py	foreground_vision_bot/position/native_diagnostics.py	40a6e87f3805825b11d574efde93a4507885783ab80b9ce5b6030b5169af8fd1
exact_sha256	flyff_farming_recorder/position/native_position.json	foreground_vision_bot/position/native_position.json	6f073278103a2ec04276767b59642a80c3f4328b2a353d2095f42cd8c2a73242
exact_sha256	flyff_farming_simulator/.pytest-temp-v16/test_behavior_clone_rejects_wr0/wrong_contract.npz	flyff_farming_simulator/.pytest-temp-v17/test_behavior_clone_rejects_wr0/wrong_contract.npz	f0f630a4d52b49679cef54cd09b8d22de6067faefb353020bdaebbe001eb27b2
exact_sha256	flyff_farming_simulator/.pytest-temp-v16/test_duplicate_recordings_are_0/session/manifest.json	flyff_farming_simulator/.pytest-temp-v16/test_recording_fit_and_demo_ex0/session/manifest.json	1768e2c410070e9f6095eece2938623bc95412726cd0b121224422dc069c5cbf
