current_path	proposed_path	classification	action	current_sha256	size	importers	entrypoint_callers	required_tests	historical_sensitive	artifact_sensitive	notes
foreground_vision_farm.py	apps/dev_app.py	DEV_APP_IN_PROCESS	move	ef85afcfd28559a3e61f94f24a01fdc09f7aa0d08dfed6c00a861d1884b60505	1552	none	desktop launch (manual)	none (no test imports this script)	no	no	Pure move; only Path(__file__).with_name usage is location-relative and unaffected
app.py	apps/recorder_app.py	RECORDER_PACKAGING	move	7009a54f904faf7fb8c77cd080b93a8247340e71c4179bdbad41375a830cf6db	112	none	desktop launch (manual); FlyffFarmingRecorder.spec entry_script	docs/migration/tools/phase4_contracts.py check_b1 active_sources	no	no	FlyffFarmingRecorder.spec's entry_script derivation updated in same commit (path-arithmetic fix, not behavior change)
tools/run_observation_telemetry.py	apps/telemetry_cli.py	DEVTOOL	move	3077f4a40dc89549452e885477c2aa3e4d3511f7efd574fc419f8bcbd6ade135	9367	none	desktop launch (manual)	docs/migration/tools/phase4_contracts.py check_b1 active_sources	no	no	Import of farming.telemetry updated to devtools.telemetry.observation_telemetry in same commit
farming/telemetry.py	devtools/telemetry/observation_telemetry.py	DEVTOOL	move	ece74579ea33f88123b02aa986ea51c41a905dfd6084d8fd532947417671b599	27055	tests/test_farming_telemetry.py, tools/run_observation_telemetry.py (moving together)	none	tests/test_farming_telemetry.py (19 tests, import path updated)	no	no	Not re-exported by farming/__init__.py; clean leaf; zero __file__-relative assumptions
tools/probe_native_position.py	devtools/native/probe_native_position.py	DEVTOOL	move	cf828557b0111df10871ee5a99677d2b12091d4e65728c82521402711c67b94f	6378	none	desktop launch (manual)	none	no	no	parents[1] -> parents[2] path-arithmetic fix
tools/scan_native_pointer_workflow.py	devtools/native/scan_native_pointer_workflow.py	DEVTOOL	move	86134ad523ab254e46ee652c8c505c3cba7d78ccdfe1d997bc612441206ecfa5	29596	none	desktop launch (manual)	none	no	no	parents[1] -> parents[2] path-arithmetic fix
tools/trace_native_pointer_access.py	devtools/native/trace_native_pointer_access.py	DEVTOOL	move	e75d7624619b20508ded9fde511f19c375b62f0cc247979d92cdde68a775d83d	23832	none	desktop launch (manual)	none	no	no	parents[1] -> parents[2] path-arithmetic fix
tools/test_native_independent_reader.py	devtools/native/test_native_independent_reader.py	DEVTOOL	move	cdfcaf69793e9d5e88f0675aa2bfe2ac88957d77a01a55d145a656b74c2a682b	25279	tests/test_independent_native_reader.py	desktop launch (manual)	tests/test_independent_native_reader.py (import path updated)	no	no	parents[1] -> parents[2] path-arithmetic fix
tools/friend_pointer_recovery_test.py	(unchanged)	AMBIGUOUS_STOP	keep	n/a	n/a	tests/test_friend_pointer_recovery_test.py	FlyffPointerRecoveryTest.spec entry_script (hardcoded tools/ path)	tests/test_friend_pointer_recovery_test.py	no	no	Moving would silently break its own PyInstaller spec's hardcoded entry_script; packaging quintet not named by authorization Section 16; kept whole
tools/inventory_recordings.py	devtools/archives/inventory_recordings.py	DEVTOOL	move	d06e7650dbb5af5a41afe35e7c2118ad3c6faac3f790be65bccfed11f57218b5	5786	tools/sort_new_recordings.py (moving together), tests/test_simulator_core.py	python -m invocation (manual)	tests/test_simulator_core.py::test_inventory_tool_classifies_recording_retroactively (sys.path.insert string updated); docs/migration/tests/test_migration_integrity.py::test_b3_bootstrap_pattern_no_longer_present_in_inventory_recordings (path string updated)	no	no	No bootstrap needed (Phase-8 already removed B3's sys.path hack); canonical archive reader simulator/schema.py+legacy/manifest_compat.py untouched
tools/sort_new_recordings.py	devtools/archives/sort_new_recordings.py	DEVTOOL	move	e41ae5e35dedee4e37d5dda4de9f0275260a4b1b80a3822176689c99c1444232	6170	none	manual CLI	none	no	no	Sibling import of inventory_recordings unaffected (both move together); recordings_root is an explicit CLI arg, not __file__-relative
tools/list_world_model_eligible.py	devtools/archives/list_world_model_eligible.py	DEVTOOL	move	4101198e40d2845c2ff987ee130a928d9efe2cf3b5b5d22bc61f1fcef2b86be7	923	none	manual CLI	none	no	no	parents[1] -> parents[2] path-arithmetic fix
calibration_analysis.py	devtools/calibration/calibration_analysis.py	DEVTOOL	move	8d6db8cb0b872326521fdefa8e0621079140c328680968589e9d3e8514b6746a	11317	calibration_holdout_validation.py (moving together)	manual CLI	none	no	no	CWD-relative CSV I/O only; zero __file__ assumptions
calibration_capture.py	devtools/calibration/calibration_capture.py	DEVTOOL	move	509d0ad71c437907381b3442f9486b604c449556da3b2f332436eb477b852a70	8936	none	manual CLI	none	no	no	Only file needing a NEW bootstrap: adds parents[2] sys.path insert for position.IndependentNativeReader (previously relied on script-own-dir==repo-root)
calibration_holdout_validation.py	devtools/calibration/calibration_holdout_validation.py	DEVTOOL	move	6d2bd1979f3ef483d1d555c16765468cbdac051edcc5252c0d5f2ddb5e8c94c6	10441	none	manual CLI	none	no	no	CWD-relative CSV I/O only
calibration_local_frame_analysis.py	devtools/calibration/calibration_local_frame_analysis.py	DEVTOOL	move	4533b4e8a75d0b799c8c53c8fe1be2909e31441905daa230fd4394af8c7a2d61	17745	navigation/movement_kernel.py (comment citation only, not import)	manual CLI	none	no	no	Cited by filename in a navigation/movement_kernel.py comment (untouchable file); citation refers to output .txt/.csv data, not this .py script, so the citation remains accurate after this move
calibration_steering_analysis.py	devtools/calibration/calibration_steering_analysis.py	DEVTOOL	move	f3da8bb75805a320a3e0950e2d1e08ec744f698e1de0d2626553c635ee65e63a	8494	none	manual CLI	none	no	no	CWD-relative CSV I/O only
calibration_tick_extraction.py	devtools/calibration/calibration_tick_extraction.py	DEVTOOL	move	9414dd5e2bc93cd7ad11719303189e8548b3cdc77404e974408fcea4eead3020	13454	calibration_holdout_validation.py, calibration_local_frame_analysis.py, calibration_tick_extraction_v2.py (all move together)	manual CLI	none	no	no	Cited by filename in a navigation/movement_kernel.py comment (data file, not this script); CWD-relative CSV I/O only
calibration_tick_extraction_v2.py	devtools/calibration/calibration_tick_extraction_v2.py	DEVTOOL	move	cd9b18d3b123be9b7e1ef4c6f9b624e1712ac4fccf589393e42555b8fdc7bd82	21452	calibration_holdout_validation.py, calibration_local_frame_analysis.py (moving together)	manual CLI	none	no	no	Cited by filename in a navigation/movement_kernel.py comment (data file, not this script); CWD-relative CSV I/O only
run_simulator.py	apps/simulator_cli.py	DEV_APP_IN_PROCESS	move	c2f8e283bb3928b12198cf72013cb03288aad8db0eecd8173780846e577b181f	89	none	manual CLI; devtools/processes.py specialist registry	none	no	no	3-line wrapper around simulator.cli.main; zero path assumptions
simulator/kinodynamic_route_planner.py	(unchanged)	COMPATIBILITY_DO_NOT_MOVE	keep	n/a	n/a	pickle module-identity resolution only	n/a	tests/test_pickle_module_identity_compat.py	no	no	Phase-9 permanent behavior-free re-export shim; explicit Section 3 prohibition
simulator/movement_kernel.py	(unchanged)	COMPATIBILITY_DO_NOT_MOVE	keep	n/a	n/a	pickle module-identity resolution only	n/a	tests/test_pickle_module_identity_compat.py	no	no	Phase-9 permanent behavior-free re-export shim; explicit Section 3 prohibition
navigation/kinodynamic_route_planner.py	(unchanged)	COMPATIBILITY_DO_NOT_MOVE	keep	n/a	n/a	n/a	n/a	n/a	no	no	Canonical navigation owner; explicit Phase-10 Section 23 prohibition on modification
navigation/movement_kernel.py	(unchanged)	COMPATIBILITY_DO_NOT_MOVE	keep	n/a	n/a	n/a	n/a	n/a	no	no	Canonical navigation owner; explicit Phase-10 Section 23 prohibition on modification
navigation/movement_kinematics.py	(unchanged)	COMPATIBILITY_DO_NOT_MOVE	keep	n/a	n/a	n/a	n/a	n/a	no	no	Canonical navigation owner; explicit Phase-10 Section 23 prohibition on modification
navigation/navigation_evidence.py	(unchanged)	COMPATIBILITY_DO_NOT_MOVE	keep	n/a	n/a	n/a	n/a	n/a	no	no	Canonical navigation owner; explicit Phase-10 Section 23 prohibition on modification
simulator/split_branch_policy.py	(unchanged)	COMPATIBILITY_DO_NOT_MOVE	keep	n/a	n/a	n/a	n/a	n/a	no	no	Checkpoint ABI owner; explicit Phase-10 Section 23 prohibition on modification
simulator/schema.py	(unchanged)	SIMULATOR_CORE	keep	n/a	n/a	n/a	n/a	n/a	no	yes	Actual (Section-1-corrected) canonical archive/recording reader; the authorization's own "archives/schema.py" name does not exist in this repository
legacy/manifest_compat.py	(unchanged)	SIMULATOR_CORE	keep	n/a	n/a	n/a	n/a	n/a	no	no	Genuinely-historical, non-dataclass compatibility logic behind simulator/schema.py; canonical, not a devtool
recorder/gui.py	(unchanged)	RECORDER_CORE	keep	n/a	n/a	apps/recorder_app.py	apps/recorder_app.py	n/a	no	no	Recorder GUI implementation stays in recorder/; only its launcher (app.py) moves
FlyffFarmingRecorder.spec	(unchanged, edited)	RECORDER_PACKAGING	edit	n/a	n/a	n/a	build_recorder_exe.ps1	none (static structure only)	no	no	entry_script path updated from app_root/"app.py" to app_root/"apps"/"recorder_app.py"; app_root derivation (spec_path.parent) itself is already the repo root and is unchanged
run_fair_time_simulator.py	(unchanged)	DEFER_PHASE13	keep	n/a	n/a	n/a	n/a	n/a	no	no	Wraps simulator.fair_time_cli.main; no dev-app subprocess interface mechanically forces a move
run_reward_audited_simulator.py	(unchanged)	DEFER_PHASE13	keep	n/a	n/a	n/a	n/a	n/a	no	no	Wraps simulator.fair_time_cli.main; no dev-app subprocess interface mechanically forces a move
RUN_CANONICAL_ADVANCED.py	(unchanged)	DEFER_PHASE13	keep	n/a	n/a	n/a	n/a	n/a	no	no	Training-orchestration entrypoint; own internal state/logging conventions
RUN_CANONICAL_BASIC.py	(unchanged)	DEFER_PHASE13	keep	n/a	n/a	n/a	n/a	n/a	no	no	Training-orchestration entrypoint; own internal state/logging conventions
RUN_CANONICAL_BEGINNER.py	(unchanged)	DEFER_PHASE13	keep	n/a	n/a	n/a	n/a	n/a	no	no	Training-orchestration entrypoint; own internal state/logging conventions; separately governed by the Beginner Navigation Training Mix plan
RUN_CANONICAL_INTERMEDIATE.py	(unchanged)	DEFER_PHASE13	keep	n/a	n/a	n/a	n/a	n/a	no	no	Training-orchestration entrypoint; own internal state/logging conventions
movement_calibration.csv	(unchanged)	SCIENTIFIC_ARTIFACT_DO_NOT_MOVE	keep	n/a	n/a	n/a	n/a	n/a	no	yes	Cited by navigation/movement_kernel.py comment; Section 14.B / Section 24
movement_calibration_steering.csv	(unchanged)	SCIENTIFIC_ARTIFACT_DO_NOT_MOVE	keep	n/a	n/a	n/a	n/a	n/a	no	yes	Section 14.B / Section 24
calibration_tick_extraction.csv	(unchanged)	SCIENTIFIC_ARTIFACT_DO_NOT_MOVE	keep	n/a	n/a	n/a	n/a	n/a	no	yes	Cited by navigation/movement_kernel.py comment; Section 14.B / Section 24
calibration_tick_extraction_v2.csv	(unchanged)	SCIENTIFIC_ARTIFACT_DO_NOT_MOVE	keep	n/a	n/a	n/a	n/a	n/a	no	yes	Cited by navigation/movement_kernel.py comment; Section 14.B / Section 24
calibration_trials.csv	(unchanged)	SCIENTIFIC_ARTIFACT_DO_NOT_MOVE	keep	n/a	n/a	n/a	n/a	n/a	no	yes	Section 14.B / Section 24
calibration_holdout_ramp_results.csv	(unchanged)	SCIENTIFIC_ARTIFACT_DO_NOT_MOVE	keep	n/a	n/a	n/a	n/a	n/a	no	yes	Section 14.B / Section 24
calibration_holdout_step_results.csv	(unchanged)	SCIENTIFIC_ARTIFACT_DO_NOT_MOVE	keep	n/a	n/a	n/a	n/a	n/a	no	yes	Section 14.B / Section 24
calibration_steering_pulses.csv	(unchanged)	SCIENTIFIC_ARTIFACT_DO_NOT_MOVE	keep	n/a	n/a	n/a	n/a	n/a	no	yes	Section 14.B / Section 24
