path	tracked	current_sha256	size	current_importers	current_callers	test_consumers	serialized_checkpoint_reference	historical_reference	migration_reference	runtime_resource_reference	rollback_role	deletion_gate	disposition	evidence	notes
foreground_vision_bot/farming/__init__.py	yes	5992fa36dca595131488c9a1d90ba9bf76ebdf30ef9420781f2c3c65868430cb	2890	none (zero product/test imports of foreground_vision_bot.farming as a package)	none live	docs/migration/tests/test_phase4_contracts.py::test_canonical_package_preserves_bot_public_api_lazily (direct .read_text() + AST __all__ parse, then live identity check against canonical farming)	no	CANONICAL_OWNERS.toml [[shim]] Phase-7 retained facade; docs/migration/PHASE7_MOVE_MANIFEST.tsv	yes -- read directly by name in the test above	no	B1 facade for foreground_vision_bot.farming	PHASE_12 (CANONICAL_OWNERS.toml)	RETAIN_TEST_CONTRACT	Deleting raises FileNotFoundError in test_canonical_package_preserves_bot_public_api_lazily (docs/migration/tests/, part of the required 76-passed baseline); check_b1's _b1_probe also exercises the bot-only import contexts this package roots	Pure facade; zero behavioral statements (confirmed by check_b1's has_behavior_definitions == False)
foreground_vision_bot/farming/actions.py	yes	e75211876c0b2ea916e0e2dd3cfc3013966a04ffbc5fc51c31c4f00a55e9902f	818	none live	none live	docs/migration/tests/test_phase4_contracts.py::test_b1_origins_bot_only_visibility_and_shim_api (check_b1 -> _shim_api reads this file directly by relative path)	no	CANONICAL_OWNERS.toml [[shim]]; PHASE7_MOVE_MANIFEST.tsv	no	no	B1 facade for foreground_vision_bot.farming.actions	PHASE_12	RETAIN_TEST_CONTRACT	check_b1 hardcodes shim_names including "actions" and does (repo/relative).read_text(); deleting raises FileNotFoundError before any assertion runs	Pure re-export, has_behavior_definitions == False confirmed by the same check
foreground_vision_bot/farming/model_contract.py	yes	e549664d4f23d5ef17e88e2ffbbcedea0295f3c20f3b226b7ff539d77f63b5fa	898	none live	none live	docs/migration/tests/test_phase4_contracts.py::test_b1_origins_bot_only_visibility_and_shim_api	no	CANONICAL_OWNERS.toml [[shim]]; PHASE7_MOVE_MANIFEST.tsv	no	no	B1 facade for foreground_vision_bot.farming.model_contract	PHASE_12	RETAIN_TEST_CONTRACT	Same check_b1 shim_names mechanism as actions.py above	Pure re-export
foreground_vision_bot/farming/map_masks.py	yes	5ce761181054e93e1cea414add0e3d8d40b9865097747fd81abb9d364930fb49	244	none live	none live	docs/migration/tests/test_phase4_contracts.py::test_b1_origins_bot_only_visibility_and_shim_api	no	CANONICAL_OWNERS.toml [[shim]]; PHASE7_MOVE_MANIFEST.tsv	no	no	B1 facade for foreground_vision_bot.farming.map_masks	PHASE_12	RETAIN_TEST_CONTRACT	Same check_b1 shim_names mechanism	Pure re-export
foreground_vision_bot/farming/reward.py	yes	abf7bf13fa3bd45e7355ae7e8ec1dddfb61cf7cfbd8088d12dd8b1aca3cbde33	339	none live	none live	docs/migration/tests/test_phase4_contracts.py::test_b1_origins_bot_only_visibility_and_shim_api	no	CANONICAL_OWNERS.toml [[shim]]; PHASE7_MOVE_MANIFEST.tsv	no	no	B1 facade for foreground_vision_bot.farming.reward	PHASE_12	RETAIN_TEST_CONTRACT	Same check_b1 shim_names mechanism	Pure re-export
foreground_vision_bot/farming/session.py	yes	5d03a42e46b9700c80b8e1deded13924ef6168f80d4858e2d93fe972d5e47784	381	none live	none live	docs/migration/tests/test_phase4_contracts.py::test_b1_origins_bot_only_visibility_and_shim_api	no	CANONICAL_OWNERS.toml [[shim]]; PHASE7_MOVE_MANIFEST.tsv	no	no	B1 facade for foreground_vision_bot.farming.session	PHASE_12	RETAIN_TEST_CONTRACT	Same check_b1 shim_names mechanism	Pure re-export
foreground_vision_bot/farming/map_profile.py	yes	0817303ca293f4454ba16e727ffe9bb88436baaf2c2f1f68536a5bf4881b0857	256	none live	none live	docs/migration/tests/test_phase4_contracts.py::test_b1_origins_bot_only_visibility_and_shim_api	no	CANONICAL_OWNERS.toml [[shim]]; PHASE7_MOVE_MANIFEST.tsv	no	no	B1 facade for foreground_vision_bot.farming.map_profile	PHASE_12	RETAIN_TEST_CONTRACT	Same check_b1 shim_names mechanism	Pure re-export
foreground_vision_bot/farming/observation.py	yes	f07de46a45b358d0e10b90a3fa8856be230555fef9341a2ca7edb5e21fd973f1	2050	none live	none live	docs/migration/tests/test_phase4_contracts.py::test_b1_origins_bot_only_visibility_and_shim_api	no	CANONICAL_OWNERS.toml [[shim]]; PHASE7_MOVE_MANIFEST.tsv	no	no	B1 facade for foreground_vision_bot.farming.observation, incl. depended-on private _DIRECT_ACTOR_FIELD_NAMES	PHASE_12	RETAIN_TEST_CONTRACT	check_b1 additionally asserts "_DIRECT_ACTOR_FIELD_NAMES" present in this shim's imported set specifically	Pure re-export, extra private-symbol requirement
foreground_vision_bot/farming/map_features.py	yes	5feb42f287c6afdba3da9eb64c940debc8e32b6c0cff788212ddfedbf05a761e	1124	none live	none live	docs/migration/tests/test_phase4_contracts.py::test_b1_origins_bot_only_visibility_and_shim_api	no	CANONICAL_OWNERS.toml [[shim]]; PHASE7_MOVE_MANIFEST.tsv	no	no	B1 facade for foreground_vision_bot.farming.map_features	PHASE_12	RETAIN_TEST_CONTRACT	Same check_b1 shim_names mechanism	Pure re-export
flyff_farming_recorder/position/__init__.py	yes	fe67ab50cf359e5bbafda118382fbfb212fba91253c5ff28b969b6000518936a	2308	docs/migration/tools/phase5_contracts.py check_b2 probe subprocess imports flyff_farming_recorder.position.IndependentNativeReader, which requires this package init to exist/execute	none live	docs/migration/tests/test_phase5_contracts.py::test_b2_resolves_shared_position_to_one_physical_owner (glob-based exact 23-file count against docs/migration/PHASE5_B2_SHIM_MANIFEST.tsv + subprocess import probe)	no	CANONICAL_OWNERS.toml [[shim]]; PHASE5_B2_SHIM_MANIFEST.tsv (frozen, pre_phase5_commit/blob columns)	no	no	B2 facade for flyff_farming_recorder.position (package root)	PHASE_12	RETAIN_TEST_CONTRACT	check_b2 requires len(glob(flyff_farming_recorder/position/*.py))==23 exactly matching the frozen manifest; deleting the package __init__ also breaks the live import probe (compat = importlib.import_module("flyff_farming_recorder.position.IndependentNativeReader"))	Deleting drops the glob count to 22, an immediate B2 manifest mismatch failure
