category	path	sha256	observation_shape	action_space	policy_module	policy_qualname	metadata_version	lineage_or_role_evidence	pre_phase2_reference	uniquely_selected_by_existing_evidence
canonical_advanced_ppo	flyff_farming_simulator/models/canonical_advanced_ppo_010k.zip	8b6521cab20b642f8f8ed6e1c4c0aad50cafffec77b9fec6d52177c5a4f0fd3f	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	step_or_index=010	yes	no
canonical_advanced_ppo	flyff_farming_simulator/models/canonical_advanced_ppo_010k_rehearsed.zip	0150909c5db6f4d5ec4e44dd607a0de638ce66f30d5c6b48b8d089f5b6b14313	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	rehearsed_variant	yes	no
canonical_advanced_ppo	flyff_farming_simulator/models/canonical_advanced_ppo_020k.zip	3b7139d0e36ac59e66c0099c125e133b58aa68c68b1ff34e8180da898317d1e8	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	step_or_index=020	yes	no
canonical_advanced_ppo	flyff_farming_simulator/models/canonical_advanced_ppo_020k_rehearsed.zip	ff1bd1449d6cb99fa4f283f20b93321483c9d39b2976a422210b6b2b32433f05	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	rehearsed_variant	yes	no
canonical_advanced_ppo	flyff_farming_simulator/models/canonical_advanced_ppo_030k.zip	c2af113c9fdc7ceb07d7ceb3ac0f9b34791abd0fee11ae22767b694932eebc32	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	step_or_index=030	yes	no
canonical_advanced_ppo	flyff_farming_simulator/models/canonical_advanced_ppo_030k_rehearsed.zip	c2e7cb7970b6236754e66c2ce6801f8cfb060d30b4665a57f0bd7d032bf672bb	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	rehearsed_variant	yes	no
canonical_advanced_ppo	flyff_farming_simulator/models/canonical_advanced_ppo_040k.zip	61b0c200abbacd2d3f8fa2354d2ef61e06e979797927bf2ab0d2754ce691287c	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	step_or_index=040	yes	no
canonical_advanced_ppo	flyff_farming_simulator/models/canonical_advanced_ppo_040k_rehearsed.zip	12767eb6248f1d56bbb5811dd979704b2b72aad6304ba136d96d1a5a8799630f	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	rehearsed_variant	yes	no
canonical_advanced_ppo	flyff_farming_simulator/models/canonical_advanced_ppo_050k.zip	14665c7117472e9c6ce111c1943261b8f26f6fd1477444a5de9c481c5f788040	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	step_or_index=050	yes	no
canonical_advanced_ppo	flyff_farming_simulator/models/canonical_advanced_ppo_050k_rehearsed.zip	85cad4beeaa7f15474ddb5b62d798bf65764f350e69f8dad93c8c6c9a500b216	[925]	nvec=[3, 3]	simulator.split_branch_policy	SplitSteeringNavigationPolicy	ABSENT	rehearsed_variant	yes	no
