category	path	sha256	outcome	exception_type	exception_message	policy_class_module	policy_class_qualname	observation_space	action_space	contract_metadata_version	inventory_policy_class_module	inventory_policy_class_qualname	matches_inventory	provenance
canonical_advanced_ppo	flyff_farming_simulator/models/canonical_advanced_ppo_190k.zip	3cb16f2210122fc9dd348c46adb82260684caacc507c5bc62db7930c7c00c01e	failed	ValueError	NavigationAugmentedFeaturesExtractor requires a 928-value observation (923 raw + 5 navigation-history sidecar), got 925. Wrap the environment with simulator.navigation_history.NavigationHistoryWrapper.					ABSENT	simulator.split_branch_policy	SplitSteeringNavigationPolicy		first authorized G10b real-load baseline frozen in Phase 2 (V2 coordinator-authorized hash-stratified representative selection)
era_925	flyff_farming_simulator/models/canonical_beginner_ppo_010k_rehearsed.zip	5e36939fc6dfe64b8bf4d0fecbabf97d626773f5bbd15684fdb922c3bfc3a948	failed	ValueError	NavigationAugmentedFeaturesExtractor requires a 928-value observation (923 raw + 5 navigation-history sidecar), got 925. Wrap the environment with simulator.navigation_history.NavigationHistoryWrapper.					ABSENT	simulator.split_branch_policy	SplitSteeringNavigationPolicy		first authorized G10b real-load baseline frozen in Phase 2 (V2 coordinator-authorized hash-stratified representative selection)
era_928	flyff_farming_simulator/models/generalized_waypoint_living_cost_only_seed0_0030720.zip	5325ee06e47dbbbf5d69341cb6f1931868170b9d3fe4e6c6231a167e7ed60795	loaded			simulator.split_branch_policy	SplitSteeringNavigationPolicy	Box(-1.0, 1.0, (928,), float32)	MultiDiscrete([3 3])	ABSENT	simulator.split_branch_policy	SplitSteeringNavigationPolicy	True	first authorized G10b real-load baseline frozen in Phase 2 (V2 coordinator-authorized hash-stratified representative selection)
foreground_bot_models	foreground_vision_bot/models/farming/native_strategy_map_context_ppo.zip	06435efe0f309286b49f4310d01b5a95fbef1d63bea211dc1506487e6b1ab4a2	loaded			stable_baselines3.common.policies	ActorCriticPolicy	Box(-1.0, 1.0, (923,), float32)	Discrete(5)	1	stable_baselines3.common.policies	ActorCriticPolicy	True	first authorized G10b real-load baseline frozen in Phase 2 (V2 coordinator-authorized hash-stratified representative selection)
foreground_bot_models	foreground_vision_bot/models/farming/native_strategy_map_risk_ppo.zip	4e606ac59dd0dc6fef9b5d91100cda8a246e97aef084bc34b5f89a98a620617c	loaded			stable_baselines3.common.policies	ActorCriticPolicy	Box(-1.0, 1.0, (482,), float32)	Discrete(5)	1	stable_baselines3.common.policies	ActorCriticPolicy	True	first authorized G10b real-load baseline frozen in Phase 2 (V2 coordinator-authorized hash-stratified representative selection)
generalized_waypoint_both_seed2_lineage	flyff_farming_simulator/models/generalized_waypoint_both_seed2_0010240.zip	b1f23cd2211265950366ac3673721a468c04330569c70ebbcf8e7d45b356a982	loaded			simulator.split_branch_policy	SplitSteeringNavigationPolicy	Box(-1.0, 1.0, (928,), float32)	MultiDiscrete([3 3])	ABSENT	simulator.split_branch_policy	SplitSteeringNavigationPolicy	True	first authorized G10b real-load baseline frozen in Phase 2 (V2 coordinator-authorized hash-stratified representative selection)
generalized_waypoint_both_seed2_lineage	flyff_farming_simulator/models/generalized_waypoint_both_seed2_0020480.zip	40c77ab44b0b3019803376a2a310ef228690773ad4306dc3fa5cb7b3d6ed86c8	loaded			simulator.split_branch_policy	SplitSteeringNavigationPolicy	Box(-1.0, 1.0, (928,), float32)	MultiDiscrete([3 3])	ABSENT	simulator.split_branch_policy	SplitSteeringNavigationPolicy	True	first authorized G10b real-load baseline frozen in Phase 2 (V2 coordinator-authorized hash-stratified representative selection)
generalized_waypoint_both_seed2_lineage	flyff_farming_simulator/models/generalized_waypoint_both_seed2_0030720.zip	3cf06930e91313189c23432a251d45defc88bde99213fafb40ea63f25570390e	loaded			simulator.split_branch_policy	SplitSteeringNavigationPolicy	Box(-1.0, 1.0, (928,), float32)	MultiDiscrete([3 3])	ABSENT	simulator.split_branch_policy	SplitSteeringNavigationPolicy	True	first authorized G10b real-load baseline frozen in Phase 2 (V2 coordinator-authorized hash-stratified representative selection)
generalized_waypoint_both_seed2_lineage	flyff_farming_simulator/models/generalized_waypoint_both_seed2_0040960.zip	ef88f491d7a2b9bc17b984a0cd3e07a891241c4ab8f957a31d0d954d0f7a0db8	loaded			simulator.split_branch_policy	SplitSteeringNavigationPolicy	Box(-1.0, 1.0, (928,), float32)	MultiDiscrete([3 3])	ABSENT	simulator.split_branch_policy	SplitSteeringNavigationPolicy	True	first authorized G10b real-load baseline frozen in Phase 2 (V2 coordinator-authorized hash-stratified representative selection)
generalized_waypoint_both_seed2_lineage	flyff_farming_simulator/models/generalized_waypoint_both_seed2_0051200.zip	87bd8d3e0be88b7f243ad6c9b35ff6d3f8bde1f37b35334febf936ec115cda50	loaded			simulator.split_branch_policy	SplitSteeringNavigationPolicy	Box(-1.0, 1.0, (928,), float32)	MultiDiscrete([3 3])	ABSENT	simulator.split_branch_policy	SplitSteeringNavigationPolicy	True	first authorized G10b real-load baseline frozen in Phase 2 (V2 coordinator-authorized hash-stratified representative selection)
generalized_waypoint_both_seed2_lineage	flyff_farming_simulator/models/generalized_waypoint_both_seed2_0061440.zip	71007cd8f6d48d3ebe948693723be589238667886349a425b3ca4dd3744d8fda	loaded			simulator.split_branch_policy	SplitSteeringNavigationPolicy	Box(-1.0, 1.0, (928,), float32)	MultiDiscrete([3 3])	ABSENT	simulator.split_branch_policy	SplitSteeringNavigationPolicy	True	first authorized G10b real-load baseline frozen in Phase 2 (V2 coordinator-authorized hash-stratified representative selection)
quarantine	flyff_farming_simulator/models/_quarantine/canonical_basic_milestone_004_BROKEN_event_head_never_learned_eva_20260808.zip	2dfc43affc7fb25df63a7981ded64a6e398931ee18e3e634b659b6be1425bfb1	failed	ValueError	NavigationAugmentedFeaturesExtractor requires a 928-value observation (923 raw + 5 navigation-history sidecar), got 925. Wrap the environment with simulator.navigation_history.NavigationHistoryWrapper.					ABSENT	simulator.split_branch_policy	SplitSteeringNavigationPolicy		first authorized G10b real-load baseline frozen in Phase 2 (V2 coordinator-authorized hash-stratified representative selection)
split_branch_pilot	flyff_farming_simulator/models/split_branch_pilot.zip	b39a20a8bd06befcac40c2bbbf64693d818498bb9aad09ee2484042290c4db24	loaded			simulator.split_branch_policy	SplitSteeringEventPolicy	Box(-1.0, 1.0, (923,), float32)	MultiDiscrete([3 3])	2	simulator.split_branch_policy	SplitSteeringEventPolicy	True	first authorized G10b real-load baseline frozen in Phase 2 (V2 coordinator-authorized hash-stratified representative selection)
split_branch_pilot	flyff_farming_simulator/models/split_branch_pilot_10000.zip	bbca9e6b89897d00d26e7f211a9881e10208d75073e1d4aa4316008f43178862	loaded			simulator.split_branch_policy	SplitSteeringEventPolicy	Box(-1.0, 1.0, (923,), float32)	MultiDiscrete([3 3])	2	simulator.split_branch_policy	SplitSteeringEventPolicy	True	first authorized G10b real-load baseline frozen in Phase 2 (V2 coordinator-authorized hash-stratified representative selection)
split_branch_pilot	flyff_farming_simulator/models/split_branch_pilot_15000.zip	9cee9563874853c774750dc40dbb02d82ab23012ce7ae398389844f1df6faf6a	loaded			simulator.split_branch_policy	SplitSteeringEventPolicy	Box(-1.0, 1.0, (923,), float32)	MultiDiscrete([3 3])	2	simulator.split_branch_policy	SplitSteeringEventPolicy	True	first authorized G10b real-load baseline frozen in Phase 2 (V2 coordinator-authorized hash-stratified representative selection)
