category	path	checkpoint_sha256	selection_input	selection_score_sha256	pool_size_before_exclusions	excluded_count	eligible_pool_size	selection_rule_version
generalized_waypoint_both_seed2_lineage	flyff_farming_simulator/models/generalized_waypoint_both_seed2_0010240.zip	b1f23cd2211265950366ac3673721a468c04330569c70ebbcf8e7d45b356a982			6	0	6	accepted-plan-fixed-category
generalized_waypoint_both_seed2_lineage	flyff_farming_simulator/models/generalized_waypoint_both_seed2_0020480.zip	40c77ab44b0b3019803376a2a310ef228690773ad4306dc3fa5cb7b3d6ed86c8			6	0	6	accepted-plan-fixed-category
generalized_waypoint_both_seed2_lineage	flyff_farming_simulator/models/generalized_waypoint_both_seed2_0030720.zip	3cf06930e91313189c23432a251d45defc88bde99213fafb40ea63f25570390e			6	0	6	accepted-plan-fixed-category
generalized_waypoint_both_seed2_lineage	flyff_farming_simulator/models/generalized_waypoint_both_seed2_0040960.zip	ef88f491d7a2b9bc17b984a0cd3e07a891241c4ab8f957a31d0d954d0f7a0db8			6	0	6	accepted-plan-fixed-category
generalized_waypoint_both_seed2_lineage	flyff_farming_simulator/models/generalized_waypoint_both_seed2_0051200.zip	87bd8d3e0be88b7f243ad6c9b35ff6d3f8bde1f37b35334febf936ec115cda50			6	0	6	accepted-plan-fixed-category
generalized_waypoint_both_seed2_lineage	flyff_farming_simulator/models/generalized_waypoint_both_seed2_0061440.zip	71007cd8f6d48d3ebe948693723be589238667886349a425b3ca4dd3744d8fda			6	0	6	accepted-plan-fixed-category
split_branch_pilot	flyff_farming_simulator/models/split_branch_pilot.zip	b39a20a8bd06befcac40c2bbbf64693d818498bb9aad09ee2484042290c4db24			5	0	5	accepted-plan-fixed-category
split_branch_pilot	flyff_farming_simulator/models/split_branch_pilot_10000.zip	bbca9e6b89897d00d26e7f211a9881e10208d75073e1d4aa4316008f43178862			5	0	5	accepted-plan-fixed-category
split_branch_pilot	flyff_farming_simulator/models/split_branch_pilot_15000.zip	9cee9563874853c774750dc40dbb02d82ab23012ce7ae398389844f1df6faf6a			5	0	5	accepted-plan-fixed-category
split_branch_pilot	flyff_farming_simulator/models/split_branch_pilot_5000.zip	4821a288afdb7eebc8e4ab818eb6a983704a926107c0e9060f67726e56803070			5	0	5	accepted-plan-fixed-category
split_branch_pilot	flyff_farming_simulator/models/split_branch_pilot_teacher.zip	b4742049725be4f9e6512aedbe770ff0bfc26d5fc6cc75cbaf312d989847eb51			5	0	5	accepted-plan-fixed-category
foreground_bot_models	foreground_vision_bot/models/farming/native_strategy_map_context_ppo.zip	06435efe0f309286b49f4310d01b5a95fbef1d63bea211dc1506487e6b1ab4a2			2	0	2	accepted-plan-fixed-category
foreground_bot_models	foreground_vision_bot/models/farming/native_strategy_map_risk_ppo.zip	4e606ac59dd0dc6fef9b5d91100cda8a246e97aef084bc34b5f89a98a620617c			2	0	2	accepted-plan-fixed-category
canonical_advanced_ppo	flyff_farming_simulator/models/canonical_advanced_ppo_190k.zip	3cb16f2210122fc9dd348c46adb82260684caacc507c5bc62db7930c7c00c01e	G10b-v2|canonical_advanced_ppo|3cb16f2210122fc9dd348c46adb82260684caacc507c5bc62db7930c7c00c01e	05c28a3e77464d0d9494e50eca960b2ed8efdd3f940de394801caff9a102c3da	45	0	45	G10b-v2-hash-stratified
quarantine	flyff_farming_simulator/models/_quarantine/canonical_basic_milestone_004_BROKEN_event_head_never_learned_eva_20260808.zip	2dfc43affc7fb25df63a7981ded64a6e398931ee18e3e634b659b6be1425bfb1	G10b-v2|quarantine|2dfc43affc7fb25df63a7981ded64a6e398931ee18e3e634b659b6be1425bfb1	7bc4e367e6b94594a54734e537d277bf4e9bed262e0d8d3af7455652de5ea3be	8	0	8	G10b-v2-hash-stratified
era_925	flyff_farming_simulator/models/canonical_beginner_ppo_010k_rehearsed.zip	5e36939fc6dfe64b8bf4d0fecbabf97d626773f5bbd15684fdb922c3bfc3a948	G10b-v2|era_925|5e36939fc6dfe64b8bf4d0fecbabf97d626773f5bbd15684fdb922c3bfc3a948	00f677c3e8cd0d81f677aa3346be4ca3e390f91ab6c2cd6495ccae028f730ab1	173	53	120	G10b-v2-hash-stratified
era_928	flyff_farming_simulator/models/generalized_waypoint_living_cost_only_seed0_0030720.zip	5325ee06e47dbbbf5d69341cb6f1931868170b9d3fe4e6c6231a167e7ed60795	G10b-v2|era_928|5325ee06e47dbbbf5d69341cb6f1931868170b9d3fe4e6c6231a167e7ed60795	0138f5f5dbc5e11c8d6c07ca31afd915dd03a28c8e121af5041dfc3079643e80	102	6	96	G10b-v2-hash-stratified
