path	size_bytes	sha256	gate	generator_tool	fixture_format_version	seed_or_case_spec	source_provenance	source_sha256	semantic_role
tests/fixtures/migration/bounded_geodesic.json	168630	7d35b25b5f4d0a8ac7fcd63daad3c2b1301b966f2211b00b1570ebef0d474455	geodesic	docs/migration/tools/phase3_capture.py	flyffrl-phase3-v1	bounded-geodesic	simulator FarmingMapFeatures point and field APIs	538529ae08db7a4c777d4108604528199cee542ae9ddac33685a72ce154d3352	bounded field versus point-query equivalence
tests/fixtures/migration/effective_config.json	279	85db99915898e319a9724a8d75bbda6009df19e469c61dbca5cc98690598c3dd	G9.1	docs/migration/tools/phase3_capture.py	flyffrl-phase3-v1	effective-config exact Phase-0 replay	docs/migration/EFFECTIVE_CONFIG_BASELINE.json	197dd7dfbe14461701a6c5cce1d651d3f93cd48f741ed6563b52152bb200e9e2	authoritative baseline provenance and current equality
tests/fixtures/migration/map6_diagnostic.json	904	52a32c2f93899d5208569d325520732064e7ee93ffe0df8ff14a2c55152f1814	MAP6-diagnostic-only	docs/migration/tools/phase3_capture.py	flyffrl-phase3-v1	derived-maps fixed invocation	mechanical comparison of separate G12 captures		non-gating radius-difference diagnostic
tests/fixtures/migration/map_live.json	46669	bf3c2526573c59e87d075e647a1aaf737f59ed37f50056cb7204fe7115b947ac	G12-live	docs/migration/tools/phase3_capture.py	flyffrl-phase3-v1	derived-maps fixed invocation	FarmingMapContext.load(Tower AoE), current defaults	1f6a189ab9e947ca1dd7bd2641a5b8ca551d5087f93caf53cb1f2486b2c40903	separate live radius-2 derived-map golden
tests/fixtures/migration/map_simulator.json	46600	e5dbc2a4298a25beacc5b851e0a281d34b97d8f71ee02d246eff799bdc1bccd1	G12-simulator	docs/migration/tools/phase3_capture.py	flyffrl-phase3-v1	derived-maps fixed invocation	MapModel.load(), current defaults	cde83380f6c366d4b76b5f6d8fdf0e938b58f703376e4d80cbeaf66234fcb188	separate simulator radius-0 derived-map golden
tests/fixtures/migration/neighbour_boundary.json	1096	0ca884970c08cbfa297f91e478c51662605ccb0811437e8e5daff7a4ca0e1ca6	G3	docs/migration/tools/phase3_capture.py	flyffrl-phase3-v1	neighbour-boundary	ObservationBuilder._nearby_counts in bot and simulator	ed98fb76aa3583df4e226c53403e1f8faeadc34ba026b53813b12906e43016d2;033fc90490a488561b7db5d70156cc46cc387eabb95e336ca49ad8774c789c2b	boundary/fuzz classification and Phase-4 constraint
tests/fixtures/migration/observation_expected.json	706211	e3ef93cb0347848933a48d907da4f0c0c4af9095d89dfb3feab92ad90b251dfb	G3-observation	docs/migration/tools/phase3_capture.py	flyffrl-phase3-v1	observation-corpus	two isolated observation implementations	ed98fb76aa3583df4e226c53403e1f8faeadc34ba026b53813b12906e43016d2;033fc90490a488561b7db5d70156cc46cc387eabb95e336ca49ad8774c789c2b	exact per-row and aggregate 923-vector evidence
tests/fixtures/migration/observation_inputs.msgpack.gz	7354560	0c05b0689ce9ac30fa9f39f32467933f41ed42ec744e315c5ed07376a96dc4cb	G3-observation	docs/migration/tools/phase3_capture.py	flyffrl-phase3-v1	observation-corpus	two isolated observation implementations	ed98fb76aa3583df4e226c53403e1f8faeadc34ba026b53813b12906e43016d2;033fc90490a488561b7db5d70156cc46cc387eabb95e336ca49ad8774c789c2b	complete replayable 10016-case input corpus
tests/fixtures/migration/recordings.json	28220	de493e4c55355074a5722ac8c5f0ad577d88c3f50805f6ba60cb3cebffdbeddb	G7	docs/migration/tools/phase3_capture.py	flyffrl-phase3-v1	recording-archives fixed all-eight list	read-only external Phase-0 snapshot	f791348deae2bd3b0086b4256a0c902403dbfc8a9ec9d3f66124f54bb0ea3d0c;bb68a68f27343221d5268a85bc14accbe4fb4e9ea00568977dbad36214c2a40a;c46c320a6b479e1fe4f4aae93b162672f72eddd25c5855f6b4bd589f4a17c496;63b44bafcb687e5035d1af4256cb8deaa0465fda4b17a9bdd7a2ede8b5d0e287;902f2a014ac0524087157f1ec416c524b3bc304f345d7adb7fa91b97ba83f699;b377f2e8da92442bd8e0dca0a04f0c58f293d1c6c838d8bdafc01f3b1e061fcb;27934e5167c8f4a03e7b376f2106c714b7e7d187ed96a080e49ce7e1ff7bfccb;352e59177c2a9850c87116deeb8e2301fd6e22938468ffa313dc5db8614fe92c	typed ordered semantic archive baselines
tests/fixtures/migration/router_kernel.json	84500	b56bea2e8a6f45ae2b0316c706786781caa86f4a9ab5398726b43553abf3a74a	G8c	docs/migration/tools/phase3_capture.py	flyffrl-phase3-v1	router-kernel	fixed synthetic routing/controller/kernel sweep	1d8fd845873e12a8d27c6e2c84db1a16a018e890fed4c74390b69695b7d671dc;0b1774ba5ed29262f8d72bdb3549b0fc8b4b684ba915e457d6cc5d42fdbcfb47	migration continuity, not renewed scientific qualification
