case_id	case_family	map	size	start	goal	maximum_distance	maximum_expansions	point_result_bits_or_absent	field_result_bits_or_absent	mismatch_class	ulp_difference_if_finite	reachability_difference	known_algorithmic_cause	relevant_current_consumer
narrow	narrow_obstacle	narrow	25	4,12	20,12	40|float64_be:4044000000000000	256	float64_be:4030000000000000	absent	EXPANSION_BUDGET_REACHABILITY		field_absent_point_reachable	goal_directed_A*_reaches_goal_before_budget;all_goal_Dijkstra_does_not	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
expansion_32	expansion_limits_32	open	17	1,1	12,12	30|float64_be:403e000000000000	32	float64_be:402f1cd9cceef23c	absent	EXPANSION_BUDGET_REACHABILITY		field_absent_point_reachable	goal_directed_A*_reaches_goal_before_budget;all_goal_Dijkstra_does_not	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_002	random_safe_512	narrow	25	8,6	17,10	40|float64_be:4044000000000000	2048	float64_be:402c2463000f8561	float64_be:402c2463000f8560	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_004	random_safe_512	narrow	25	7,4	19,1	40|float64_be:4044000000000000	2048	float64_be:40392463000f8561	float64_be:40392463000f8562	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_008	random_safe_512	narrow	25	13,5	19,1	40|float64_be:4044000000000000	2048	float64_be:401ea09e667f3bcd	float64_be:401ea09e667f3bcc	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_009	random_safe_512	narrow	25	2,11	9,14	40|float64_be:4044000000000000	2048	float64_be:40207c3b666fb66c	float64_be:40207c3b666fb66d	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_013	random_safe_512	narrow	25	2,2	7,17	40|float64_be:4044000000000000	2048	float64_be:403112318007c2b0	float64_be:403112318007c2b1	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_026	random_safe_512	narrow	25	13,11	17,0	40|float64_be:4044000000000000	2048	float64_be:4029504f333f9de7	float64_be:4029504f333f9de8	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_029	random_safe_512	narrow	25	5,7	0,21	40|float64_be:4044000000000000	2048	float64_be:403012318007c2b0	float64_be:403012318007c2b1	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_031	random_safe_512	narrow	25	11,13	24,5	40|float64_be:4044000000000000	2048	float64_be:4030e6454cd7aa2a	float64_be:4030e6454cd7aa2b	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_037	random_safe_512	narrow	25	2,3	5,13	40|float64_be:4044000000000000	2048	float64_be:40267c3b666fb66d	float64_be:40267c3b666fb66e	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_048	random_safe_512	narrow	25	9,4	6,8	40|float64_be:4044000000000000	2048	float64_be:4014f876ccdf6cda	float64_be:4014f876ccdf6cd9	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
