name	bot_path	recorder_path	bot_sha256	recorder_sha256	classification	ast_equivalent	responsibility	disposition
__init__.py	foreground_vision_bot/position/__init__.py	flyff_farming_recorder/position/__init__.py	bf866afeb3de230aaf60f327d3b98b95a25c62fd1ecd7ee19541537c4c96e12b	bf866afeb3de230aaf60f327d3b98b95a25c62fd1ecd7ee19541537c4c96e12b	identical	true	public API	canonical bot source; recorder path becomes B2 shim
AggregateMonsterRootScan.py	foreground_vision_bot/position/AggregateMonsterRootScan.py	flyff_farming_recorder/position/AggregateMonsterRootScan.py	2ad84dd814c019826a2e3d881f0a964cd707c7537c474b536e2404f7bb148e0c	2ad84dd814c019826a2e3d881f0a964cd707c7537c474b536e2404f7bb148e0c	identical	true	mechanism	canonical bot source; recorder path becomes B2 shim
AnchoredPointerDiscovery.py	foreground_vision_bot/position/AnchoredPointerDiscovery.py	flyff_farming_recorder/position/AnchoredPointerDiscovery.py	ca080a6361fabc24af746c75d0061351c7024003b415f27cc66a7b6e414e7f26	ca080a6361fabc24af746c75d0061351c7024003b415f27cc66a7b6e414e7f26	identical	true	mechanism	canonical bot source; recorder path becomes B2 shim
attachment_factory.py	foreground_vision_bot/position/attachment_factory.py	flyff_farming_recorder/position/attachment_factory.py	8613d4292a17743ec4ddf4963b70a88182f90ef47447f88d61f66b616c59082e	8613d4292a17743ec4ddf4963b70a88182f90ef47447f88d61f66b616c59082e	identical	true	live attachment adapter	canonical bot source with explicit LIVE policy; recorder path becomes B2 shim
AuthoritativeActorDiscovery.py	foreground_vision_bot/position/AuthoritativeActorDiscovery.py	flyff_farming_recorder/position/AuthoritativeActorDiscovery.py	37423c2e829baf1b55249530424d33e5997debdd815100a7eccf0e6cba407fcb	50f82aabcbd6ce849cceeaec4d2cf17cd7e0f744aa6d589326446367f8e2372d	divergent	false	mechanism; comments only differ	canonical bot behavior; retain recorder API through B2 shim
AutonomousPointerSelection.py	foreground_vision_bot/position/AutonomousPointerSelection.py	flyff_farming_recorder/position/AutonomousPointerSelection.py	ee06245aa6d6b1679aedc7b1b1f2ea39ee096f2267815f20a7cc87a0fa0ac07f	ee06245aa6d6b1679aedc7b1b1f2ea39ee096f2267815f20a7cc87a0fa0ac07f	identical	true	mechanism	canonical bot source; recorder path becomes B2 shim
factory.py	foreground_vision_bot/position/factory.py	flyff_farming_recorder/position/factory.py	a8ea9dc12d206fd0e16226063e4909b13daadff396c3e7c7b1bb95c6fafdbd3d	a8ea9dc12d206fd0e16226063e4909b13daadff396c3e7c7b1bb95c6fafdbd3d	identical	true	live attachment adapter	canonical bot source with explicit LIVE policy; recorder path becomes B2 shim
IndependentMonsterRediscovery.py	foreground_vision_bot/position/IndependentMonsterRediscovery.py	flyff_farming_recorder/position/IndependentMonsterRediscovery.py	20685426a7544317a5d4a9f2ae14d7cf418cd26957523e51578837bd178da65c	20685426a7544317a5d4a9f2ae14d7cf418cd26957523e51578837bd178da65c	identical	true	mechanism	canonical bot source; recorder path becomes B2 shim
IndependentNativeReader.py	foreground_vision_bot/position/IndependentNativeReader.py	flyff_farming_recorder/position/IndependentNativeReader.py	9a12d6e23f741a2f208d72bcfd6a186bc5ba09b3ad08b7aede7de55f64194a99	1f91f4e19dcfa3246eb2409a8a42396dcd4945a4b7e2d0fa3a334fba54280504	divergent	false	mechanism plus recorder provenance/promotion	union provenance and narrow install API into canonical; promotion moves to profiling; recorder path becomes B2 shim
monster_factory.py	foreground_vision_bot/position/monster_factory.py	flyff_farming_recorder/position/monster_factory.py	304a6755808435d911a189d371f3c24966ab01e56255e36a8f171845e6761823	304a6755808435d911a189d371f3c24966ab01e56255e36a8f171845e6761823	identical	true	live attachment adapter	canonical bot source with explicit LIVE policy; recorder path becomes B2 shim
MonsterConfig.py	foreground_vision_bot/position/MonsterConfig.py	flyff_farming_recorder/position/MonsterConfig.py	1721310dca9f1f8c94a48cc6b372adb8606d264de47b0639174fa715f57b9ceb	058f45214120c9048e3e1cbf83959b158374e08fe64b8effe0e64bfaa48a5d0e	divergent	false	configuration schema	canonical union keeps live-owned presence settings; recording continues to own its settings in RecorderConfig
native_diagnostics.py	foreground_vision_bot/position/native_diagnostics.py	flyff_farming_recorder/position/native_diagnostics.py	40a6e87f3805825b11d574efde93a4507885783ab80b9ce5b6030b5169af8fd1	40a6e87f3805825b11d574efde93a4507885783ab80b9ce5b6030b5169af8fd1	identical	true	mechanism	canonical bot source; recorder path becomes B2 shim
native_monsters.json	foreground_vision_bot/position/native_monsters.json	flyff_farming_recorder/position/native_monsters.json	b3ba52758526bc4c1f86636b38b64c832439e4cae0671acb50311b0489553785	2b0e58d642702da7c917ebad202a9e7281a27b4ba05de37c1178a3a58da40e4e	divergent	false	application-owned resource	both resources retained; live default is canonical bot resource and recorder passes its resource explicitly
native_position.json	foreground_vision_bot/position/native_position.json	flyff_farming_recorder/position/native_position.json	6f073278103a2ec04276767b59642a80c3f4328b2a353d2095f42cd8c2a73242	6f073278103a2ec04276767b59642a80c3f4328b2a353d2095f42cd8c2a73242	identical	true	application-owned resource	both resources retained; canonical default is bot resource
native_process_service.py	foreground_vision_bot/position/native_process_service.py	flyff_farming_recorder/position/native_process_service.py	1c940082f58185befe6b0fe3c9b2ab40f744afd4a5a0fc31b769686540948e88	24544ce952317cdcef46384312c7f3e838687ddc4df6180f01ed269fba9ccfcb	divergent	false	mechanism plus live activation	canonical service receives policy; preserve live auto-activation and recorder explicit activation
NativeAccessTracer.py	foreground_vision_bot/position/NativeAccessTracer.py	flyff_farming_recorder/position/NativeAccessTracer.py	5de6627ab151ac36a0745fea9cdbf094422b69ac0d74ff1434c2f78482e4f3e4	5de6627ab151ac36a0745fea9cdbf094422b69ac0d74ff1434c2f78482e4f3e4	identical	true	mechanism	canonical bot source; recorder path becomes B2 shim
NativeFlyffMonsterProvider.py	foreground_vision_bot/position/NativeFlyffMonsterProvider.py	flyff_farming_recorder/position/NativeFlyffMonsterProvider.py	28fada0659faed5a61f00a929b06c8c3b1b054e87bf44feff7159bb98f2d54b8	28fada0659faed5a61f00a929b06c8c3b1b054e87bf44feff7159bb98f2d54b8	identical	true	mechanism/live adapter	canonical bot source; recorder path becomes B2 shim
NativeFlyffPositionProvider.py	foreground_vision_bot/position/NativeFlyffPositionProvider.py	flyff_farming_recorder/position/NativeFlyffPositionProvider.py	919398664059f087eeae2754491066d4da774f9241bd5b5fb15e2ddd7c0c5743	919398664059f087eeae2754491066d4da774f9241bd5b5fb15e2ddd7c0c5743	identical	true	mechanism/live adapter	canonical bot source; recorder path becomes B2 shim
NativePointerRecovery.py	foreground_vision_bot/position/NativePointerRecovery.py	flyff_farming_recorder/position/NativePointerRecovery.py	cda35585b6b5b36d16bfd96963993bd57880859bf5b6e0851a34a0bc230a2882	cda35585b6b5b36d16bfd96963993bd57880859bf5b6e0851a34a0bc230a2882	identical	true	mechanism	canonical bot source; recorder path becomes B2 shim
NativeTraceTargets.py	foreground_vision_bot/position/NativeTraceTargets.py	flyff_farming_recorder/position/NativeTraceTargets.py	66a05cee948ad40cd842dfa011695b5a381522b26b03253edde7a72dd37f0f84	1b47fa6c9f4d85c63066eac1211738e7ee737f71c4414c9e485d7c8841d24cec	divergent	false	mechanism with player-discrimination policy	canonical union; live legacy species/active rule and recording exact-anchor exclusion selected by policy
PointerScanWorkflow.py	foreground_vision_bot/position/PointerScanWorkflow.py	flyff_farming_recorder/position/PointerScanWorkflow.py	f5a6e8feadbecccde4c4c967924dde9d73b927610ac6f2b5fd0fe0b520ee63c7	f5a6e8feadbecccde4c4c967924dde9d73b927610ac6f2b5fd0fe0b520ee63c7	identical	true	mechanism	canonical bot source; recorder path becomes B2 shim
PositionConfig.py	foreground_vision_bot/position/PositionConfig.py	flyff_farming_recorder/position/PositionConfig.py	431034c982e2e76703965958666d880e48a9bbf06cf424c47d7455eb5e67a8e2	431034c982e2e76703965958666d880e48a9bbf06cf424c47d7455eb5e67a8e2	identical	true	configuration schema	canonical bot source; recorder path becomes B2 shim
