old_path	new_path	tracked_status	git_blob_before	sha256_before	size_before	classification	canonical_owner	phase7_action	later_phase_if_deferred	collision_status	notes
flyff_farming_recorder/.pytest-recorder-110/test_packed_stream_round_trip0/stream.msgpack.gz	.pytest-recorder-110/test_packed_stream_round_trip0/stream.msgpack.gz	tracked	a6bc632d9631a483b793128cff64d4f6771c75d3	437d37b699a866adbcefe9b3ba035455780555ece33a32eefe1f14103e2d1557	97	recorder-source	.pytest-recorder-110/test_packed_stream_round_trip0/stream.msgpack.gz	MOVE		none	One-level Alternative-A root collapse; content must remain byte-identical.
flyff_farming_recorder/.pytest-recorder-110/test_packed_stream_round_tripcurrent	.pytest-recorder-110/test_packed_stream_round_tripcurrent	tracked	3070d841c5a58b0833776b50d5647402d1c583a0	8dfce724bf3f3d486582a4c05d37dbb03d79371337bce22616e82d256c0289db	113	test	.pytest-recorder-110/test_packed_stream_round_tripcurrent	MOVE		none	One-level Alternative-A root collapse; content must remain byte-identical.
flyff_farming_recorder/.pytest-recorder-110/test_selected_species_are_sepa0/recorder_config.json	.pytest-recorder-110/test_selected_species_are_sepa0/recorder_config.json	tracked	22114f48718607e74f2ecc1fc2d41c1bbf310331	13314bb2c8fa824690931b2dec1c6683a9a7c8c7098e10bc21f32efc46f5dab1	73	config	.pytest-recorder-110/test_selected_species_are_sepa0/recorder_config.json	MOVE		none	One-level Alternative-A root collapse; content must remain byte-identical.
flyff_farming_recorder/.pytest-recorder-110/test_selected_species_are_sepacurrent	.pytest-recorder-110/test_selected_species_are_sepacurrent	tracked	f8e46aefda9e034c9b61bbdbcea9de7954cd88ec	616238210e0d5245c82b78d398f9c560f973b383899daae04e81aa63a9b5cfab	114	test	.pytest-recorder-110/test_selected_species_are_sepacurrent	MOVE		none	One-level Alternative-A root collapse; content must remain byte-identical.
flyff_farming_recorder/FlyffFarmingRecorder.spec	FlyffFarmingRecorder.spec	tracked	d18f9e1b614e522bc3b0254cbd4ac5fcba4b1f89	24da081125e6a62fb8339708c5ab8ac92cd5183fac493241bb61a2cee43a8fd2	2026	build/packaging	FlyffFarmingRecorder.spec	MOVE		none	One-level Alternative-A root collapse; content must remain byte-identical.
flyff_farming_recorder/FlyffFarmingRecorderInstaller.iss	FlyffFarmingRecorderInstaller.iss	tracked	6d48394df002c66973a57e9c48e9f9564307b508	78e8a39fc9d839145e25d329ad4d41daa83a848c2a5e845c01858e5b6ea1c3f6	1840	recorder-source	FlyffFarmingRecorderInstaller.iss	MOVE		none	One-level Alternative-A root collapse; content must remain byte-identical.
flyff_farming_recorder/README.txt	README.txt	tracked	a7e27425d8777b160f613d60e620097284a72bce	29b96afe4a2b2c498a49a25a1e9057d55da0d8ea8902e538c5775d8752734fcf	1304	recorder-source	README.txt	MOVE		none	One-level Alternative-A root collapse; content must remain byte-identical.
flyff_farming_recorder/RECORDING_FORMAT.md	RECORDING_FORMAT.md	tracked	c474c30c46769e46ff7e5304d8477452f686c463	464acb9bb0a967f3f88ed8a1fa7c4345af1dfe454d6349b676786c7220540cb1	5079	recorder-source	RECORDING_FORMAT.md	MOVE		none	One-level Alternative-A root collapse; content must remain byte-identical.
flyff_farming_recorder/app.py	app.py	tracked	52ed3ddd6368f89d14b3c386fdd6a93a306e1c99	4336e0d43309fa68e49aa69d845fadfb3494bf54c026851b63edfee2d1e2461e	1239	entrypoint	app.py	MOVE		none	One-level Alternative-A root collapse; content must remain byte-identical.
flyff_farming_recorder/build_recorder_exe.ps1	build_recorder_exe.ps1	tracked	588c48b04d3c2cb1686b638d6b39fc8ba4d7c814	1b575527ab1ade27b9bbfa0d2e47f20929ca8075755ec12afeb31bd400c4e5aa	2832	recorder-source	build_recorder_exe.ps1	MOVE		none	One-level Alternative-A root collapse; content must remain byte-identical.
flyff_farming_recorder/build_recorder_installer.ps1	build_recorder_installer.ps1	tracked	46488a3e9e69da47f0c1df8538bb72c302f395c3	186dfabae1b17c936e8627d2f545c9383323bd7c2a553fd7577394dcf39c1fe6	1025	recorder-source	build_recorder_installer.ps1	MOVE		none	One-level Alternative-A root collapse; content must remain byte-identical.
flyff_farming_recorder/calibration_analysis.py	calibration_analysis.py	tracked	3ab7846380daf8570af49ba29683fdb3353ec6e0	8d6db8cb0b872326521fdefa8e0621079140c328680968589e9d3e8514b6746a	11317	development-tool	calibration_analysis.py	MOVE		none	One-level Alternative-A root collapse; content must remain byte-identical.
flyff_farming_recorder/calibration_analysis_output.txt	calibration_analysis_output.txt	tracked	a3f171bb294fbfb8a4a23085936558c32decb7dc	def6bb6632b4082359210c2ac93ee0420db3b179adde43a8365acffb7d1bc469	5264	development-tool	calibration_analysis_output.txt	MOVE		none	One-level Alternative-A root collapse; content must remain byte-identical.
flyff_farming_recorder/calibration_capture.py	calibration_capture.py	tracked	2713286e19ae71154f32c613877770bb021f0dcf	64367d7bb296de72f6899773549803653cb7a869b1cfc7240fbe48a036f270c6	9186	development-tool	calibration_capture.py	MOVE		none	One-level Alternative-A root collapse; content must remain byte-identical.
flyff_farming_recorder/calibration_holdout_ramp_results.csv	calibration_holdout_ramp_results.csv	tracked	ee28fc2df24b23e055fa0bcc6fcd21c820875e8d	1ae5747603bb1656e6ae6715fef7234218c2824d1d004dbea6e38dde9f6e1b16	5470	development-tool	calibration_holdout_ramp_results.csv	MOVE		none	One-level Alternative-A root collapse; content must remain byte-identical.
flyff_farming_recorder/calibration_holdout_step_results.csv	calibration_holdout_step_results.csv	tracked	10ee8e94f977e7048937b3826914c86b0509f568	216fbadf01a53701314090e2280b86b845a544d98e99676f8e6a6d3525e59630	12650	development-tool	calibration_holdout_step_results.csv	MOVE		none	One-level Alternative-A root collapse; content must remain byte-identical.
