importer_path	dependency_name	dependency_kind	tracked_importer	currently_resolves	current_resolution	candidate_original_path	candidate_snapshot_path	required_for	direct_or_transitive	disposition	evidence
tests/test_kinodynamic_route_planner.py:255	scratchpad_single_obstacle_train	local_source_module	yes	no	ModuleNotFoundError	flyff_farming_simulator/scratchpad_single_obstacle_train.py	flyff_farming_simulator/scratchpad_single_obstacle_train.py	test_distant_waypoint_whose_direct_hop_clips_a_corner_is_rejected (G8c)	direct	PROMOTE_REQUIRED	git log --all --oneline -- '*scratchpad_single_obstacle_train.py' empty; never tracked at any commit in this branch
tests/test_kinodynamic_route_planner.py:298	scratchpad_single_obstacle_train	local_source_module	yes	no	ModuleNotFoundError	flyff_farming_simulator/scratchpad_single_obstacle_train.py	flyff_farming_simulator/scratchpad_single_obstacle_train.py	test_distant_waypoint_whose_direct_hop_clips_a_corner_is_rejected (G8c)	direct	PROMOTE_REQUIRED	same import statement, second reference in same test body
scratchpad_beginner_navigation_mix_train.py:58	scratchpad_generalized_waypoint_train_reward_ablation	local_source_module	yes	no	ModuleNotFoundError	flyff_farming_simulator/scratchpad_generalized_waypoint_train_reward_ablation.py	flyff_farming_simulator/scratchpad_generalized_waypoint_train_reward_ablation.py	test_beginner_navigation_mix_train.py collection (tracked scratchpad, imports eval_held_out)	direct	PROMOTE_REQUIRED	tracked importer file itself references this name; git log --all empty for the dependency
scratchpad_router_patch_qualification_compare.py:61	scratchpad_generalized_waypoint_train_reward_ablation	local_source_module	yes	no	ModuleNotFoundError	flyff_farming_simulator/scratchpad_generalized_waypoint_train_reward_ablation.py	flyff_farming_simulator/scratchpad_generalized_waypoint_train_reward_ablation.py	scratchpad_router_patch_qualification_compare.py collection (tracked scratchpad, imports eval_held_out)	direct	PROMOTE_REQUIRED	tracked importer file itself references this name
tests/test_reward_ablation_wrapper_contract.py:44	scratchpad_generalized_waypoint_train_reward_ablation	local_source_module	yes	no	ModuleNotFoundError	flyff_farming_simulator/scratchpad_generalized_waypoint_train_reward_ablation.py	flyff_farming_simulator/scratchpad_generalized_waypoint_train_reward_ablation.py	test_reward_ablation_wrapper_contract.py collection (imports LIVING_COST, RewardAblationWrapper)	direct	PROMOTE_REQUIRED	git log --all --oneline -- '*scratchpad_generalized_waypoint_train_reward_ablation.py' empty; never tracked at any commit in this branch
tests/test_reward_ablation_wrapper_contract.py:277	scratchpad_generalized_waypoint_train_reward_ablation	local_source_module	yes	no	ModuleNotFoundError	flyff_farming_simulator/scratchpad_generalized_waypoint_train_reward_ablation.py	flyff_farming_simulator/scratchpad_generalized_waypoint_train_reward_ablation.py	same file, imports GAMMA	direct	PROMOTE_REQUIRED	same dependency, third of five import sites in this closure
tests/test_reward_ablation_wrapper_contract.py:293	scratchpad_generalized_waypoint_train_reward_ablation	local_source_module	yes	no	ModuleNotFoundError	flyff_farming_simulator/scratchpad_generalized_waypoint_train_reward_ablation.py	flyff_farming_simulator/scratchpad_generalized_waypoint_train_reward_ablation.py	same file, imports GAMMA (second site)	direct	PROMOTE_REQUIRED	same dependency, fifth of five import sites in this closure
libs/HumanKeyboard.py:10	win32api	external_package	yes	yes	.venv/Lib/site-packages/win32/win32api.pyd	n/a	n/a	Windows keyboard input	direct	OPTIONAL_EXTERNAL	resolves cleanly; pywin32 nests real modules under site-packages/win32/, which a naive top-level directory scan misses; confirmed via direct `import win32api` succeeding
libs/HumanKeyboard.py:11	win32con	external_package	yes	yes	.venv/Lib/site-packages/win32/lib/win32con.py	n/a	n/a	Windows keyboard input constants	direct	OPTIONAL_EXTERNAL	same pywin32 packaging layout; resolves cleanly
libs/WindowCapture.py:3	win32con	external_package	yes	yes	.venv/Lib/site-packages/win32/lib/win32con.py	n/a	n/a	Windows window capture constants	direct	OPTIONAL_EXTERNAL	same as above
libs/WindowCapture.py:4	win32gui	external_package	yes	yes	.venv/Lib/site-packages/win32/win32gui.pyd	n/a	n/a	Windows window enumeration	direct	OPTIONAL_EXTERNAL	same pywin32 packaging layout; resolves cleanly
libs/WindowCapture.py:5	win32ui	external_package	yes	yes	.venv/Lib/site-packages/pythonwin/win32ui.pyd	n/a	n/a	Windows GDI capture	direct	OPTIONAL_EXTERNAL	pywin32's pythonwin subpackage; resolves cleanly
recorder/windows.py:17	win32gui	external_package	yes	yes	.venv/Lib/site-packages/win32/win32gui.pyd	n/a	n/a	Windows foreground-window check	direct	OPTIONAL_EXTERNAL	same as above
recorder/windows.py:37	win32gui	external_package	yes	yes	.venv/Lib/site-packages/win32/win32gui.pyd	n/a	n/a	Windows foreground-window check (second site)	direct	OPTIONAL_EXTERNAL	same as above
tools/scan_native_pointer_workflow.py:87	win32gui	external_package	yes	yes	.venv/Lib/site-packages/win32/win32gui.pyd	n/a	n/a	dev tool window lookup	direct	OPTIONAL_EXTERNAL	same as above
tools/test_native_independent_reader.py:64	win32gui	external_package	yes	yes	.venv/Lib/site-packages/win32/win32gui.pyd	n/a	n/a	dev tool window lookup	direct	OPTIONAL_EXTERNAL	same as above
tools/trace_native_pointer_access.py:79	win32gui	external_package	yes	yes	.venv/Lib/site-packages/win32/win32gui.pyd	n/a	n/a	dev tool window lookup	direct	OPTIONAL_EXTERNAL	same as above
