category	old_path	new_path	symbols	disposition
FILE_MOVE	simulator/kinodynamic_route_planner.py	navigation/kinodynamic_route_planner.py	plan_route,select_persistent_waypoint,select_persistent_waypoint_experimental_collision_free_fallback,select_persistent_waypoint_experimental_invalid_hop_guard,annotate_route_edges,route_robust_clearance_cells,_direct_hop_min_clearance,KinoState,RouteEdgeInfo,PersistentRouteFollower,TargetSwitchReason,TargetPersistenceController	git mv; KinoState/RouteEdgeInfo __module__ overridden to simulator.kinodynamic_route_planner for frozen router_kernel.json compatibility
FILE_MOVE	simulator/movement_kernel.py	navigation/movement_kernel.py	SteeringDirection,AdvanceResult,resolve_signed_turn_radians,arc_endpoint_local,arc_endpoint_world,advance_player_tick,MOVEMENT_PHYSICS_MODEL_ID,LEGACY_MOVEMENT_PHYSICS_MODEL_ID,PATH_LENGTH_CELLS_PER_TICK,ONSET_TURN_RADIANS,STEADY_TURN_RADIANS,DEFAULT_SUBSTEPS	git mv; AdvanceResult __module__ overridden to simulator.movement_kernel for frozen router_kernel.json compatibility
FILE_MOVE	simulator/movement_kinematics.py	navigation/movement_kinematics.py	sweep,advance_with_slide	git mv; retyped map_model: MapModel -> map_model: NavigationMapProtocol (structural, zero numeric change)
FILE_EXTRACT	simulator/navigation_history.py	navigation/navigation_evidence.py	STEERING_POLICY_INPUT_SCHEMA_ID,RAW_OBSERVATION_SIZE,TEMPORAL_SIDECAR_SIZE,PREVIOUS_STEERING_SIDECAR_SIZE,SIDECAR_SIZE,POLICY_INPUT_SIZE,CALIBRATED_HISTORY_WINDOW,CALIBRATED_EXPECTED_CLEAR_PATH_DISPLACEMENT,previous_steering_one_hot,sidecar_values_from_history,NavigationStepEvidence	new file; not module-identity-frozen (section 2); simulator/navigation_history.py keeps only NavigationHistoryWrapper, imports the pure core from here
FILE_NEW	(none)	navigation/map_protocol.py	NavigationMapProtocol	minimal structural Protocol, mechanically derived from movement_kinematics.py's actual access expressions
FILE_NEW	(none)	navigation/__init__.py	(none)	package marker only
KEEP_UNCHANGED	simulator/route_waypoint_generator.py	simulator/route_waypoint_generator.py	build_planning_map,build_route_path,select_route_waypoint,select_route_waypoint_native,_clearance_cells	conservative decision: concrete MapModel.from_arrays coupling, zero current importers; see analysis section 1
KEEP_UNCHANGED	simulator/split_branch_policy.py	simulator/split_branch_policy.py	(checkpoint ABI classes unchanged)	module/class names/bodies unchanged; one import line adapted: .navigation_history -> navigation.navigation_evidence for POLICY_INPUT_SIZE/RAW_OBSERVATION_SIZE/SIDECAR_SIZE
KEEP_UNCHANGED	simulator/map_model.py	simulator/map_model.py	MapModel	unchanged; satisfies NavigationMapProtocol structurally
CONSUMER_UPDATE	simulator/router_waypoint_env.py	(same)	TargetPersistenceController,plan_route,select_persistent_waypoint	.kinodynamic_route_planner -> navigation.kinodynamic_route_planner
CONSUMER_UPDATE	simulator/basic_training.py	(same)	SteeringDirection; NavigationHistoryWrapper(unchanged)	.movement_kernel -> navigation.movement_kernel; navigation_history import split (pure names vs wrapper)
CONSUMER_UPDATE	simulator/environment.py	(same)	SteeringDirection,advance_player_tick,movement_kinematics	.movement_kernel -> navigation.movement_kernel; "from . import movement_kinematics" -> "from navigation import movement_kinematics"
CONSUMER_UPDATE	simulator/navigation_history.py	(same)	SteeringDirection; pure core	.movement_kernel -> navigation.movement_kernel; pure core imported from navigation.navigation_evidence
CONSUMER_UPDATE	simulator/run_provenance.py	(same)	MOVEMENT_PHYSICS_MODEL_ID; POLICY_INPUT_SIZE,RAW_OBSERVATION_SIZE,STEERING_POLICY_INPUT_SCHEMA_ID	.movement_kernel -> navigation.movement_kernel; .navigation_history pure names -> navigation.navigation_evidence
CONSUMER_UPDATE	simulator/steering_oracle.py	(same)	SteeringDirection,STEADY_TURN_RADIANS,advance_player_tick	.movement_kernel -> navigation.movement_kernel
CONSUMER_UPDATE	simulator/synthetic.py	(same)	MOVEMENT_PHYSICS_MODEL_ID,STEADY_TURN_RADIANS,SteeringDirection,advance_player_tick	.movement_kernel -> navigation.movement_kernel
CONSUMER_UPDATE	simulator/basic_environment.py	(same)	POLICY_INPUT_SIZE; NavigationHistoryWrapper(unchanged)	navigation_history import split
CONSUMER_UPDATE	simulator/basic_milestone_evaluator.py	(same)	CALIBRATED_EXPECTED_CLEAR_PATH_DISPLACEMENT,CALIBRATED_HISTORY_WINDOW	.navigation_history -> navigation.navigation_evidence (fully replaced, no wrapper import in this file)
CONSUMER_UPDATE	simulator/factorized_v193_training.py	(same)	POLICY_INPUT_SIZE	.navigation_history -> navigation.navigation_evidence (local import inside function)
CONSUMER_UPDATE	simulator/navigation_dataset.py	(same)	POLICY_INPUT_SIZE; NavigationHistoryWrapper(unchanged)	navigation_history import split
CONSUMER_UPDATE	simulator/split_branch_policy.py	(same)	POLICY_INPUT_SIZE,RAW_OBSERVATION_SIZE,SIDECAR_SIZE	.navigation_history -> navigation.navigation_evidence
CONSUMER_UPDATE	docs/migration/tools/phase2_fingerprints.py	(same)	movement_kernel names; navigation_history names	simulator.movement_kernel -> navigation.movement_kernel; simulator.navigation_history pure names -> navigation.navigation_evidence
CONSUMER_UPDATE	docs/migration/tools/phase3_capture.py	(same)	TargetPersistenceController,annotate_route_edges,plan_route,select_persistent_waypoint,SteeringDirection,advance_player_tick,arc_endpoint_local,arc_endpoint_world,resolve_signed_turn_radians	simulator.kinodynamic_route_planner -> navigation.kinodynamic_route_planner; simulator.movement_kernel -> navigation.movement_kernel
CONSUMER_UPDATE	tests/test_environment_planner_kernel_agreement.py	(same)	KinoState,_arc_edge_check,_successor_state,SteeringDirection,ONSET_TURN_RADIANS,PATH_LENGTH_CELLS_PER_TICK,arc_endpoint_local	simulator.kinodynamic_route_planner -> navigation.kinodynamic_route_planner; simulator.movement_kernel -> navigation.movement_kernel
