rule	concept	path	detail	key	reason	moved_in_commit
R7c	OBSERVATION_SCHEMA_ID	recording_sink.py	reexport_from=farming.observation_contract:OBSERVATION_SCHEMA_ID	R7c|OBSERVATION_SCHEMA_ID|recording_sink.py|reexport_from=farming.observation_contract:OBSERVATION_SCHEMA_ID	Forward correction (recording rebuilt as a passive dev-bot sink, see MISTAKES.md "turned recording into a second acquisition/scanner process"): new root-level recording_sink.py records the observation schema identity actually used by the same NativeWorldReader/farming stack it consumes, into recorded manifests -- same pre-existing canonical symbol, new legitimate consumer, not a relocation	PHASE14
R7c	NativeFlyffMonsterProvider	docs/migration/refactor_logs/profiles/runtime_native_pointer_harness.py	reexport_from=foreground_vision_bot.position.NativeFlyffMonsterProvider:NativeFlyffMonsterProvider	R7c|NativeFlyffMonsterProvider|docs/migration/refactor_logs/profiles/runtime_native_pointer_harness.py|reexport_from=foreground_vision_bot.position.NativeFlyffMonsterProvider:NativeFlyffMonsterProvider	2026-08-21 repository cleanup relocated root-level refactor_logs/ to docs/migration/refactor_logs/ (joining its sibling docs/migration/codex_handoff/ journal); this exact finding was already frozen in docs/migration/BASELINE_VIOLATIONS.json at the old path (refactor_logs/profiles/runtime_native_pointer_harness.py) -- same pre-existing historical/dead-code import, path translation only, not new coupling	POST_PHASE14_CLEANUP
R7c	NativeFlyffPositionProvider	docs/migration/refactor_logs/profiles/runtime_native_pointer_harness.py	reexport_from=foreground_vision_bot.position.NativeFlyffPositionProvider:NativeFlyffPositionProvider	R7c|NativeFlyffPositionProvider|docs/migration/refactor_logs/profiles/runtime_native_pointer_harness.py|reexport_from=foreground_vision_bot.position.NativeFlyffPositionProvider:NativeFlyffPositionProvider	2026-08-21 repository cleanup relocated root-level refactor_logs/ to docs/migration/refactor_logs/ (joining its sibling docs/migration/codex_handoff/ journal); this exact finding was already frozen in docs/migration/BASELINE_VIOLATIONS.json at the old path (refactor_logs/profiles/runtime_native_pointer_harness.py) -- same pre-existing historical/dead-code import, path translation only, not new coupling	POST_PHASE14_CLEANUP
R7c	FarmingEvent	simulator/scratchpad/scratchpad_monster_approach_baseline_eval.py	reexport_from=farming.actions:FarmingEvent	R7c|FarmingEvent|simulator/scratchpad/scratchpad_monster_approach_baseline_eval.py|reexport_from=farming.actions:FarmingEvent	2026-08-21 repository cleanup moved this scratchpad_*.py file from repository root into scratchpad/ (Section 14 of that cleanup's directive); this exact finding was already frozen in docs/migration/BASELINE_VIOLATIONS.json at the old bare-root path -- same pre-existing import, path translation only, not new coupling	SCRATCHPAD_REORG_20260821
R7c	SplitSteeringNavigationPolicy	simulator/scratchpad/scratchpad_ppo_pure_navigation.py	reexport_from=simulator.split_branch_policy:SplitSteeringNavigationPolicy	R7c|SplitSteeringNavigationPolicy|simulator/scratchpad/scratchpad_ppo_pure_navigation.py|reexport_from=simulator.split_branch_policy:SplitSteeringNavigationPolicy	2026-08-21 repository cleanup moved this scratchpad_*.py file from repository root into scratchpad/ (Section 14 of that cleanup's directive); this exact finding was already frozen in docs/migration/BASELINE_VIOLATIONS.json at the old bare-root path -- same pre-existing import, path translation only, not new coupling	SCRATCHPAD_REORG_20260821
R7c	SplitSteeringNavigationPolicy	simulator/scratchpad/scratchpad_ppo_pure_navigation_v2.py	reexport_from=simulator.split_branch_policy:SplitSteeringNavigationPolicy	R7c|SplitSteeringNavigationPolicy|simulator/scratchpad/scratchpad_ppo_pure_navigation_v2.py|reexport_from=simulator.split_branch_policy:SplitSteeringNavigationPolicy	2026-08-21 repository cleanup moved this scratchpad_*.py file from repository root into scratchpad/ (Section 14 of that cleanup's directive); this exact finding was already frozen in docs/migration/BASELINE_VIOLATIONS.json at the old bare-root path -- same pre-existing import, path translation only, not new coupling	SCRATCHPAD_REORG_20260821
R7c	SteeringAction	simulator/scratchpad/scratchpad_coarse_route_proof_of_mechanism_v2.py	reexport_from=farming.actions:SteeringAction	R7c|SteeringAction|simulator/scratchpad/scratchpad_coarse_route_proof_of_mechanism_v2.py|reexport_from=farming.actions:SteeringAction	2026-08-21 repository cleanup moved this scratchpad_*.py file from repository root into scratchpad/ (Section 14 of that cleanup's directive); this exact finding was already frozen in docs/migration/BASELINE_VIOLATIONS.json at the old bare-root path -- same pre-existing import, path translation only, not new coupling	SCRATCHPAD_REORG_20260821
R7c	SteeringAction	simulator/scratchpad/scratchpad_coarse_route_rollout_verification.py	reexport_from=farming.actions:SteeringAction	R7c|SteeringAction|simulator/scratchpad/scratchpad_coarse_route_rollout_verification.py|reexport_from=farming.actions:SteeringAction	2026-08-21 repository cleanup moved this scratchpad_*.py file from repository root into scratchpad/ (Section 14 of that cleanup's directive); this exact finding was already frozen in docs/migration/BASELINE_VIOLATIONS.json at the old bare-root path -- same pre-existing import, path translation only, not new coupling	SCRATCHPAD_REORG_20260821
R7c	SteeringAction	simulator/scratchpad/scratchpad_debug_waypoint_no_effect.py	reexport_from=farming.actions:SteeringAction	R7c|SteeringAction|simulator/scratchpad/scratchpad_debug_waypoint_no_effect.py|reexport_from=farming.actions:SteeringAction	2026-08-21 repository cleanup moved this scratchpad_*.py file from repository root into scratchpad/ (Section 14 of that cleanup's directive); this exact finding was already frozen in docs/migration/BASELINE_VIOLATIONS.json at the old bare-root path -- same pre-existing import, path translation only, not new coupling	SCRATCHPAD_REORG_20260821
R7c	SteeringAction	simulator/scratchpad/scratchpad_diagnose_v3_terminal_gate_onsets.py	reexport_from=farming.actions:SteeringAction	R7c|SteeringAction|simulator/scratchpad/scratchpad_diagnose_v3_terminal_gate_onsets.py|reexport_from=farming.actions:SteeringAction	2026-08-21 repository cleanup moved this scratchpad_*.py file from repository root into scratchpad/ (Section 14 of that cleanup's directive); this exact finding was already frozen in docs/migration/BASELINE_VIOLATIONS.json at the old bare-root path -- same pre-existing import, path translation only, not new coupling	SCRATCHPAD_REORG_20260821
