rule	concept	path	detail	key	reason	moved_in_commit
R7c	FARMING_TARGET_SLOTS	tests/test_farming_target_policy.py	reexport_from=simulator.farming_target_policy:FARMING_TARGET_SLOTS	R7c|FARMING_TARGET_SLOTS|tests/test_farming_target_policy.py|reexport_from=simulator.farming_target_policy:FARMING_TARGET_SLOTS	New/pre-existing legitimate consumer of the newly-registered 'FARMING_TARGET_SLOTS' symbol (simulator/farming_target_policy.py or simulator/navigation_subpolicy.py canonical ownership registration, pre-merge blocker remediation, 2026-08-23) -- registering these two already-existing files in CANONICAL_OWNERS.toml made the tool track their symbols for the first time, surfacing already-existing import edges, not new architectural coupling.	PREMERGE_REMEDIATION_20260823
R7c	FROZEN_NAVIGATION_CHECKPOINT_PATH	simulator/scratchpad/scratchpad_learned_target_selection_smoke.py	reexport_from=simulator.navigation_subpolicy:FROZEN_NAVIGATION_CHECKPOINT_PATH	R7c|FROZEN_NAVIGATION_CHECKPOINT_PATH|simulator/scratchpad/scratchpad_learned_target_selection_smoke.py|reexport_from=simulator.navigation_subpolicy:FROZEN_NAVIGATION_CHECKPOINT_PATH	New/pre-existing legitimate consumer of the newly-registered 'FROZEN_NAVIGATION_CHECKPOINT_PATH' symbol (simulator/farming_target_policy.py or simulator/navigation_subpolicy.py canonical ownership registration, pre-merge blocker remediation, 2026-08-23) -- registering these two already-existing files in CANONICAL_OWNERS.toml made the tool track their symbols for the first time, surfacing already-existing import edges, not new architectural coupling.	PREMERGE_REMEDIATION_20260823
R7c	FROZEN_NAVIGATION_CHECKPOINT_PATH	tests/test_intermediate_advanced_event_only_continuation.py	reexport_from=simulator.navigation_subpolicy:FROZEN_NAVIGATION_CHECKPOINT_PATH	R7c|FROZEN_NAVIGATION_CHECKPOINT_PATH|tests/test_intermediate_advanced_event_only_continuation.py|reexport_from=simulator.navigation_subpolicy:FROZEN_NAVIGATION_CHECKPOINT_PATH	New/pre-existing legitimate consumer of the newly-registered 'FROZEN_NAVIGATION_CHECKPOINT_PATH' symbol (simulator/farming_target_policy.py or simulator/navigation_subpolicy.py canonical ownership registration, pre-merge blocker remediation, 2026-08-23) -- registering these two already-existing files in CANONICAL_OWNERS.toml made the tool track their symbols for the first time, surfacing already-existing import edges, not new architectural coupling.	PREMERGE_REMEDIATION_20260823
R7c	FROZEN_NAVIGATION_CHECKPOINT_PATH	tests/test_navigation_subpolicy.py	reexport_from=simulator.navigation_subpolicy:FROZEN_NAVIGATION_CHECKPOINT_PATH	R7c|FROZEN_NAVIGATION_CHECKPOINT_PATH|tests/test_navigation_subpolicy.py|reexport_from=simulator.navigation_subpolicy:FROZEN_NAVIGATION_CHECKPOINT_PATH	New/pre-existing legitimate consumer of the newly-registered 'FROZEN_NAVIGATION_CHECKPOINT_PATH' symbol (simulator/farming_target_policy.py or simulator/navigation_subpolicy.py canonical ownership registration, pre-merge blocker remediation, 2026-08-23) -- registering these two already-existing files in CANONICAL_OWNERS.toml made the tool track their symbols for the first time, surfacing already-existing import edges, not new architectural coupling.	PREMERGE_REMEDIATION_20260823
R7c	FROZEN_NAVIGATION_CHECKPOINT_SHA256	tests/test_navigation_subpolicy.py	reexport_from=simulator.navigation_subpolicy:FROZEN_NAVIGATION_CHECKPOINT_SHA256	R7c|FROZEN_NAVIGATION_CHECKPOINT_SHA256|tests/test_navigation_subpolicy.py|reexport_from=simulator.navigation_subpolicy:FROZEN_NAVIGATION_CHECKPOINT_SHA256	New/pre-existing legitimate consumer of the newly-registered 'FROZEN_NAVIGATION_CHECKPOINT_SHA256' symbol (simulator/farming_target_policy.py or simulator/navigation_subpolicy.py canonical ownership registration, pre-merge blocker remediation, 2026-08-23) -- registering these two already-existing files in CANONICAL_OWNERS.toml made the tool track their symbols for the first time, surfacing already-existing import edges, not new architectural coupling.	PREMERGE_REMEDIATION_20260823
R7c	FarmingPolicyWrapper	simulator/scratchpad/scratchpad_learned_target_selection_smoke.py	reexport_from=simulator.farming_target_policy:FarmingPolicyWrapper	R7c|FarmingPolicyWrapper|simulator/scratchpad/scratchpad_learned_target_selection_smoke.py|reexport_from=simulator.farming_target_policy:FarmingPolicyWrapper	New/pre-existing legitimate consumer of the newly-registered 'FarmingPolicyWrapper' symbol (simulator/farming_target_policy.py or simulator/navigation_subpolicy.py canonical ownership registration, pre-merge blocker remediation, 2026-08-23) -- registering these two already-existing files in CANONICAL_OWNERS.toml made the tool track their symbols for the first time, surfacing already-existing import edges, not new architectural coupling.	PREMERGE_REMEDIATION_20260823
R7c	FarmingPolicyWrapper	tests/test_farming_target_policy.py	reexport_from=simulator.farming_target_policy:FarmingPolicyWrapper	R7c|FarmingPolicyWrapper|tests/test_farming_target_policy.py|reexport_from=simulator.farming_target_policy:FarmingPolicyWrapper	New/pre-existing legitimate consumer of the newly-registered 'FarmingPolicyWrapper' symbol (simulator/farming_target_policy.py or simulator/navigation_subpolicy.py canonical ownership registration, pre-merge blocker remediation, 2026-08-23) -- registering these two already-existing files in CANONICAL_OWNERS.toml made the tool track their symbols for the first time, surfacing already-existing import edges, not new architectural coupling.	PREMERGE_REMEDIATION_20260823
R7c	FrozenNavigationSteering	simulator/basic_environment.py	reexport_from=.navigation_subpolicy:FrozenNavigationSteering	R7c|FrozenNavigationSteering|simulator/basic_environment.py|reexport_from=.navigation_subpolicy:FrozenNavigationSteering	New/pre-existing legitimate consumer of the newly-registered 'FrozenNavigationSteering' symbol (simulator/farming_target_policy.py or simulator/navigation_subpolicy.py canonical ownership registration, pre-merge blocker remediation, 2026-08-23) -- registering these two already-existing files in CANONICAL_OWNERS.toml made the tool track their symbols for the first time, surfacing already-existing import edges, not new architectural coupling.	PREMERGE_REMEDIATION_20260823
R7c	FrozenNavigationSteering	simulator/farming_target_policy.py	reexport_from=.navigation_subpolicy:FrozenNavigationSteering	R7c|FrozenNavigationSteering|simulator/farming_target_policy.py|reexport_from=.navigation_subpolicy:FrozenNavigationSteering	New/pre-existing legitimate consumer of the newly-registered 'FrozenNavigationSteering' symbol (simulator/farming_target_policy.py or simulator/navigation_subpolicy.py canonical ownership registration, pre-merge blocker remediation, 2026-08-23) -- registering these two already-existing files in CANONICAL_OWNERS.toml made the tool track their symbols for the first time, surfacing already-existing import edges, not new architectural coupling.	PREMERGE_REMEDIATION_20260823
R7c	FrozenNavigationSteering	simulator/scratchpad/scratchpad_learned_target_selection_smoke.py	reexport_from=simulator.navigation_subpolicy:FrozenNavigationSteering	R7c|FrozenNavigationSteering|simulator/scratchpad/scratchpad_learned_target_selection_smoke.py|reexport_from=simulator.navigation_subpolicy:FrozenNavigationSteering	New/pre-existing legitimate consumer of the newly-registered 'FrozenNavigationSteering' symbol (simulator/farming_target_policy.py or simulator/navigation_subpolicy.py canonical ownership registration, pre-merge blocker remediation, 2026-08-23) -- registering these two already-existing files in CANONICAL_OWNERS.toml made the tool track their symbols for the first time, surfacing already-existing import edges, not new architectural coupling.	PREMERGE_REMEDIATION_20260823
R7c	FrozenNavigationSteering	tests/test_basic_environment.py	reexport_from=simulator.navigation_subpolicy:FrozenNavigationSteering	R7c|FrozenNavigationSteering|tests/test_basic_environment.py|reexport_from=simulator.navigation_subpolicy:FrozenNavigationSteering	New/pre-existing legitimate consumer of the newly-registered 'FrozenNavigationSteering' symbol (simulator/farming_target_policy.py or simulator/navigation_subpolicy.py canonical ownership registration, pre-merge blocker remediation, 2026-08-23) -- registering these two already-existing files in CANONICAL_OWNERS.toml made the tool track their symbols for the first time, surfacing already-existing import edges, not new architectural coupling.	PREMERGE_REMEDIATION_20260823
