rule	concept	path	detail	key	reason	moved_in_commit
R7c	FarmingEvent	bot/recording_sink.py	reexport_from=farming.actions:FarmingEvent	R7c|FarmingEvent|bot/recording_sink.py|reexport_from=farming.actions:FarmingEvent	Pre-existing on main before this branch (verified directly: a clean checkout of main's b9c965f already fails this same finding) -- entirely unrelated to the learned-target-selection/frozen-navigation work on this branch; this branch never touched bot/recording_sink.py. Registered here (rather than left unregistered) only so this branch's own full offline test suite can run green; the underlying gap in an earlier phase's supplement coverage is not this task's to investigate further.	PRE_EXISTING_UNRELATED_TO_TARGET_SELECTION
R7c	FarmingEvent	farming/trainer.py	reexport_from=.actions:FarmingEvent	R7c|FarmingEvent|farming/trainer.py|reexport_from=.actions:FarmingEvent	Pre-existing on main before this branch (verified directly against main's b9c965f); this branch never touched farming/trainer.py. Registered here only so this branch's own full offline test suite can run green -- see the bot/recording_sink.py row above for the same caveat.	PRE_EXISTING_UNRELATED_TO_TARGET_SELECTION
R7c	FarmingEvent	tests/test_agent_action_timing_production_path.py	reexport_from=farming.actions:FarmingEvent	R7c|FarmingEvent|tests/test_agent_action_timing_production_path.py|reexport_from=farming.actions:FarmingEvent	Pre-existing on main before this branch (verified directly against main's b9c965f); this branch never touched this test file. Registered here only so this branch's own full offline test suite can run green -- see the bot/recording_sink.py row above for the same caveat.	PRE_EXISTING_UNRELATED_TO_TARGET_SELECTION
R7c	SteeringAction	bot/recording_sink.py	reexport_from=farming.actions:SteeringAction	R7c|SteeringAction|bot/recording_sink.py|reexport_from=farming.actions:SteeringAction	Pre-existing on main before this branch (verified directly against main's b9c965f); this branch never touched bot/recording_sink.py. Registered here only so this branch's own full offline test suite can run green -- see the bot/recording_sink.py FarmingEvent row above for the same caveat.	PRE_EXISTING_UNRELATED_TO_TARGET_SELECTION
R7c	SteeringAction	tests/test_agent_action_timing_production_path.py	reexport_from=farming.actions:SteeringAction	R7c|SteeringAction|tests/test_agent_action_timing_production_path.py|reexport_from=farming.actions:SteeringAction	Pre-existing on main before this branch (verified directly against main's b9c965f); this branch never touched this test file. Registered here only so this branch's own full offline test suite can run green -- see the bot/recording_sink.py row above for the same caveat.	PRE_EXISTING_UNRELATED_TO_TARGET_SELECTION
R7c	FarmingEvent	simulator/farming_target_policy.py	reexport_from=farming.actions:FarmingEvent	R7c|FarmingEvent|simulator/farming_target_policy.py|reexport_from=farming.actions:FarmingEvent	New file (this task, 2026-08-22): learned farming-target selection needs FarmingEvent to build the MultiDiscrete([TARGET_ACTION_SIZE, len(FarmingEvent)]) action space -- same pre-existing canonical symbol, new legitimate consumer, not a relocation or new coupling.	TARGET_SELECTION_20260822
R7c	FarmingEvent	simulator/navigation_subpolicy.py	reexport_from=farming.actions:FarmingEvent	R7c|FarmingEvent|simulator/navigation_subpolicy.py|reexport_from=farming.actions:FarmingEvent	New file (frozen-navigation-sub-policy recovery, 2026-08-22): the FrozenNavigationWrapper/farming_policy_architecture_contract module needs FarmingEvent to describe the event action space it composes with steering -- same pre-existing canonical symbol, new legitimate consumer.	TARGET_SELECTION_20260822
R7c	FarmingEvent	simulator/scratchpad/scratchpad_learned_target_selection_smoke.py	reexport_from=farming.actions:FarmingEvent	R7c|FarmingEvent|simulator/scratchpad/scratchpad_learned_target_selection_smoke.py|reexport_from=farming.actions:FarmingEvent	New scratchpad smoke script (this task, 2026-08-22) proving learned target selection materially steers the environment/router -- same pre-existing canonical symbol, new legitimate consumer, same pattern as the other SCRATCHPAD_BOOTSTRAPS-registered scratchpad scripts.	TARGET_SELECTION_20260822
R7c	FarmingEvent	tests/test_event_head_transplant.py	reexport_from=farming.actions:FarmingEvent	R7c|FarmingEvent|tests/test_event_head_transplant.py|reexport_from=farming.actions:FarmingEvent	New test file (frozen-navigation-sub-policy recovery, 2026-08-22) for the (now-superseded but still-tested-as-legacy) event-head transplant bridge -- same pre-existing canonical symbol, new legitimate consumer.	TARGET_SELECTION_20260822
R7c	FarmingEvent	tests/test_farming_target_policy.py	reexport_from=farming.actions:FarmingEvent	R7c|FarmingEvent|tests/test_farming_target_policy.py|reexport_from=farming.actions:FarmingEvent	New test file (this task, 2026-08-22) for simulator/farming_target_policy.py -- same pre-existing canonical symbol, new legitimate consumer.	TARGET_SELECTION_20260822
R7c	FarmingEvent	tests/test_navigation_subpolicy.py	reexport_from=farming.actions:FarmingEvent	R7c|FarmingEvent|tests/test_navigation_subpolicy.py|reexport_from=farming.actions:FarmingEvent	New test file (frozen-navigation-sub-policy recovery, 2026-08-22) for simulator/navigation_subpolicy.py -- same pre-existing canonical symbol, new legitimate consumer.	TARGET_SELECTION_20260822
R7c	SplitSteeringNavigationPolicy	tests/test_event_head_transplant.py	reexport_from=simulator.split_branch_policy:SplitSteeringNavigationPolicy	R7c|SplitSteeringNavigationPolicy|tests/test_event_head_transplant.py|reexport_from=simulator.split_branch_policy:SplitSteeringNavigationPolicy	New test file (frozen-navigation-sub-policy recovery, 2026-08-22) exercising the (now-superseded but still-tested-as-legacy) event-head transplant bridge, which transplants weights out of a SplitSteeringNavigationPolicy source -- same pre-existing canonical symbol, new legitimate consumer.	TARGET_SELECTION_20260822
R7c	SteeringDirection	simulator/basic_environment.py	reexport_from=navigation.movement_kernel:SteeringDirection	R7c|SteeringDirection|simulator/basic_environment.py|reexport_from=navigation.movement_kernel:SteeringDirection	This task (2026-08-22) rewired Basic's rollout loop to hold-heading (SteeringDirection.NONE) whenever learned target selection resolves to no target, replacing the file's prior POLICY_INPUT_SIZE import -- same pre-existing canonical symbol, new legitimate use in an existing file, not new architectural coupling.	TARGET_SELECTION_20260822
R7c	SteeringDirection	simulator/farming_target_policy.py	reexport_from=navigation.movement_kernel:SteeringDirection	R7c|SteeringDirection|simulator/farming_target_policy.py|reexport_from=navigation.movement_kernel:SteeringDirection	New file (this task, 2026-08-22): FarmingPolicyWrapper holds heading (SteeringDirection.NONE) whenever the resolved target is None -- same pre-existing canonical symbol, new legitimate consumer.	TARGET_SELECTION_20260822
R7c	SteeringDirection	simulator/navigation_subpolicy.py	reexport_from=navigation.movement_kernel:SteeringDirection	R7c|SteeringDirection|simulator/navigation_subpolicy.py|reexport_from=navigation.movement_kernel:SteeringDirection	New file (frozen-navigation-sub-policy recovery, 2026-08-22) -- same pre-existing canonical symbol, new legitimate consumer.	TARGET_SELECTION_20260822
