action,duration_s,distance_cells,heading_change_radians,focused_all,pre_speed_cells_per_sec,post_speed_early_cells_per_sec,post_heading_settle_radians
RIGHT,0.05924000000000085,0.656247903870086,,True,13.851310944844267,13.838114930637802,-0.009995117610508641
LEFT,0.12040999999999968,1.530982874100209,0.06979234084539376,True,14.370161799258048,13.661785812109349,0.009957812788368381
RIGHT,0.07995000000000019,1.0934815894149235,,True,13.841421072231626,13.676952387691616,4.524525198723595e-06
LEFT,0.11988999999999983,1.9682108228248985,0.12970607937926548,True,13.120571868328168,13.660249354836614,0.011626504359600442
RIGHT,0.07969000000000115,1.093760796589011,,True,13.671393991525466,14.373303073462765,1.4027100279090376e-06
LEFT,0.07992999999999917,1.0934796619772034,,True,13.853549057904797,13.842043513959165,0.011626322123440502
RIGHT,0.11988999999999983,1.5309831978549888,-0.06989582661251181,True,13.684135374208914,13.121477556844992,-1.8621468855783974e-07
LEFT,0.07975000000000065,1.0937483947250337,,True,13.847195186897617,14.371159262234327,0.00996775620763124
RIGHT,0.12005999999999872,1.749471605923302,-0.09324046324089874,True,13.679091052197506,13.696014607775094,8.500706794034585e-07
LEFT,0.12009000000000114,1.7494926796007804,0.05990404503061164,True,13.111092751467709,13.67051855872521,-1.2434497875801753e-14
RIGHT,0.10004999999999953,1.3122350187151568,,True,13.661553724160525,13.850176913120155,-0.011646315823575337
LEFT,0.12014999999999887,1.7494680629596027,0.10470046909772557,True,13.851569465663422,13.854125613726858,-4.9278626930160385e-06
RIGHT,0.10020000000000095,1.3122452058360001,,True,13.675258275534183,13.836266612823504,-4.732442690835725e-06
LEFT,0.10004999999999953,1.3122321106802888,,True,13.675808517733564,13.85165404701231,0.009968734341576857
RIGHT,0.09994000000000014,1.3125118958517186,,True,13.672933539386095,13.676883449370454,3.456077919405942e-06
LEFT,0.10019000000000133,1.3122279335825133,,True,13.849906840138326,14.337854732113366,0.011621329692230287
RIGHT,0.10003000000000029,1.3122281136822684,,True,13.665703214878361,13.673105958291284,-0.011646095256106825
LEFT,0.14039000000000001,1.9682053882093413,0.19780224159006532,True,13.666264124926705,13.670358862849534,2.2436322870689196e-06
RIGHT,0.12009999999999721,1.5309852340611574,-0.06989387508449263,True,13.103836565356485,13.667033781796158,8.298940739059901e-07
LEFT,0.17998000000000047,2.405989616671169,0.3374111718852095,True,13.853111679935568,13.852530473057836,1.0795043889899603e-06
RIGHT,0.13978999999999786,1.9682610651019756,-0.19809049875614892,True,13.669095424542936,13.846321255374102,-0.011643860871703993
LEFT,0.1600999999999999,1.9684760434873894,0.2093865019119614,True,14.352249082402148,,
RIGHT,0.0602899999999984,0.8747423596553046,,True,13.849753691940776,13.846807511605553,3.1419736714610735e-06
LEFT,0.12033999999999878,1.749762111126052,0.09479060247552229,True,13.123265105464732,12.988721921227752,0.011619019546498244
RIGHT,0.13993999999999573,1.9679592752052855,-0.2096759586436987,True,13.690315399915233,13.675508536330392,-0.011636223784975197
LEFT,0.11992000000000047,1.9682033112962698,0.12969178029357442,True,12.987678079450088,13.83334198890532,-6.339611189121186e-06
RIGHT,0.10015999999999536,1.3122328935339127,,True,13.656460597354199,13.661992119845562,3.5595739347193955e-06
LEFT,0.08000999999999436,0.875004242755204,,True,13.670938126538667,13.836278250970711,0.0
