action,tick,pulse_id,window_index,distance_cells,heading_change_radians
STRAIGHT,pre-pulse,movement_calibration_steering.csv:431,0,2.624219493163128,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:466,0,2.850787933764969,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:513,0,2.8424536075889573,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:550,0,2.6272672335666427,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:600,0,2.6263753356788633,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:637,0,2.8452793550864612,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:682,0,2.6241021493937065,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:720,0,2.8440627735967063,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:766,0,2.8465278551434583,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:804,0,2.625636848101909,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:848,0,2.6244574296320966,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:887,0,2.841195947067999,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:930,0,2.8440716081614905,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:966,0,2.845617231350555,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:1007,0,2.849663803547544,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:1046,0,2.8407933241424588,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:1088,0,2.844777739198167,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:1126,0,2.8422313310833656,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:1164,0,2.621971900405303,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:1203,0,2.845240438698634,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:1242,0,2.846853297861831,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:1285,0,2.843534026249027,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:1564,0,2.8389198693933952,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:1589,0,2.6216826276967287,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:1633,0,2.844295278328257,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:1670,0,2.623862288409743,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:1719,0,2.8409854372240293,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:1761,0,2.6271208347049724,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:1805,0,2.6257557541322907,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:1851,0,2.8420131382175877,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:1896,0,2.842610075449793,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:1943,0,2.6229081381298025,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:1988,0,2.84721326211896,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:2029,0,2.846405944331628,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:2070,0,2.8437368605043547,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:2110,0,2.84134113437556,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:2149,0,2.8474346692022117,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:2185,0,2.844565327903011,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:2226,0,2.8437126226645937,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:2263,0,2.8425885435557174,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:2307,0,2.8416553684350934,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:2343,0,2.8425262846705524,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:2381,0,2.8405577033815446,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:2421,0,2.6264457129972034,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:2458,0,2.8464761476663427,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:2496,0,2.630418402444755,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:2535,0,2.620835798291053,
STRAIGHT,pre-pulse,movement_calibration_steering.csv:2575,0,2.8419892659633095,
RIGHT,1,movement_calibration_steering.csv:2842,1,2.846559323530533,-0.8236293621427296
STRAIGHT,pre-pulse,movement_calibration_steering.csv:2842,0,2.6293804076811327,
LEFT,1,movement_calibration_steering.csv:2887,1,2.8394474262180673,0.8025671924909622
LEFT,2,movement_calibration_steering.csv:2887,2,2.409389567801586,0.8724699349646636
STRAIGHT,pre-pulse,movement_calibration_steering.csv:2887,0,2.6239011329977955,
RIGHT,1,movement_calibration_steering.csv:2944,1,2.8405702547028264,-0.8049091903577996
RIGHT,2,movement_calibration_steering.csv:2944,2,2.626952214274864,-0.8375347448538859
RIGHT,3,movement_calibration_steering.csv:2944,3,2.8432787674461477,-0.9086185522436743
STRAIGHT,pre-pulse,movement_calibration_steering.csv:2944,0,2.626196767755604,
LEFT,1,movement_calibration_steering.csv:3004,1,2.844691277342614,0.8567166559629119
LEFT,2,movement_calibration_steering.csv:3004,2,2.625679312149245,0.8707266863470626
LEFT,3,movement_calibration_steering.csv:3004,3,2.84324474302088,0.8386764330451952
LEFT,4,movement_calibration_steering.csv:3004,4,2.622549194001229,0.8726112609200496
STRAIGHT,pre-pulse,movement_calibration_steering.csv:3004,0,2.6251921139667846,
RIGHT,1,movement_calibration_steering.csv:3084,1,2.8397573783373686,-0.8724245942169038
RIGHT,2,movement_calibration_steering.csv:3084,2,2.8437046294878168,-0.8390127009560349
RIGHT,3,movement_calibration_steering.csv:3084,3,2.623697866544886,-0.8393984132698389
RIGHT,4,movement_calibration_steering.csv:3084,4,2.8434625950053753,-0.8731223357480538
STRAIGHT,pre-pulse,movement_calibration_steering.csv:3084,0,2.624994168644771,
LEFT,1,movement_calibration_steering.csv:3170,1,2.6266609593915096,0.7848141356831896
LEFT,2,movement_calibration_steering.csv:3170,2,2.841990004125208,0.9079733937458812
LEFT,3,movement_calibration_steering.csv:3170,3,2.6218464449859633,0.8385699306414729
LEFT,4,movement_calibration_steering.csv:3170,4,2.8459853443683585,0.9076399371399431
STRAIGHT,pre-pulse,movement_calibration_steering.csv:3170,0,2.840860093681312,
RIGHT,1,movement_calibration_steering.csv:3262,1,2.6237912439054134,-0.8027451783163047
RIGHT,2,movement_calibration_steering.csv:3262,2,2.841321298004673,-0.8735611469841018
RIGHT,3,movement_calibration_steering.csv:3262,3,2.624360965941169,-0.8731754509528367
STRAIGHT,pre-pulse,movement_calibration_steering.csv:3262,0,2.8429001005823653,
LEFT,1,movement_calibration_steering.csv:3338,1,2.849006530502463,0.8366177532329555
LEFT,2,movement_calibration_steering.csv:3338,2,2.6218294285475428,0.872642076576038
LEFT,3,movement_calibration_steering.csv:3338,3,2.8389810917921876,0.873237699461429
STRAIGHT,pre-pulse,movement_calibration_steering.csv:3338,0,2.6229904000662607,
RIGHT,1,movement_calibration_steering.csv:3410,1,2.8451375900455647,-0.7344925779776981
RIGHT,2,movement_calibration_steering.csv:3410,2,2.6236555863133235,-0.9432790008462744
RIGHT,3,movement_calibration_steering.csv:3410,3,2.841494554028162,-0.8382590243985608
STRAIGHT,pre-pulse,movement_calibration_steering.csv:3410,0,2.852239948712082,
LEFT,1,movement_calibration_steering.csv:3473,1,2.8447226402984818,0.8650414731487952
LEFT,2,movement_calibration_steering.csv:3473,2,2.6419632230884136,0.8376584400727585
LEFT,3,movement_calibration_steering.csv:3473,3,2.8438565403725318,0.9080693533182238
STRAIGHT,pre-pulse,movement_calibration_steering.csv:3473,0,2.6223806295939616,
RIGHT,1,movement_calibration_steering.csv:3544,1,2.627934944168773,-0.8303969970673621
RIGHT,2,movement_calibration_steering.csv:3544,2,2.843976055845705,-0.8740041130751088
RIGHT,3,movement_calibration_steering.csv:3544,3,2.6181696722772205,-0.8733627452277084
STRAIGHT,pre-pulse,movement_calibration_steering.csv:3544,0,2.8442586541524095,
LEFT,1,movement_calibration_steering.csv:3604,1,2.623325449344891,0.7884641491394655
LEFT,2,movement_calibration_steering.csv:3604,2,2.842604834378335,0.8726021277083443
LEFT,3,movement_calibration_steering.csv:3604,3,2.84422545548235,0.8722834910651343
STRAIGHT,pre-pulse,movement_calibration_steering.csv:3604,0,2.8484489836932223,
RIGHT,1,movement_calibration_steering.csv:3663,1,2.624904794558088,-0.7566043187330695
RIGHT,2,movement_calibration_steering.csv:3663,2,2.845762461182749,-0.871363666226161
RIGHT,3,movement_calibration_steering.csv:3663,3,2.8435625560499656,-0.875155716098484
STRAIGHT,pre-pulse,movement_calibration_steering.csv:3663,0,2.844849358083917,
LEFT,1,movement_calibration_steering.csv:3720,1,2.625393472652071,0.7888518405480714
LEFT,2,movement_calibration_steering.csv:3720,2,2.8419607170041647,0.8727090683188925
LEFT,3,movement_calibration_steering.csv:3720,3,2.626119629410233,0.8717541371668689
STRAIGHT,pre-pulse,movement_calibration_steering.csv:3720,0,2.84552068495841,
RIGHT,1,movement_calibration_steering.csv:3777,1,2.62426914501375,-0.6987998437530747
RIGHT,2,movement_calibration_steering.csv:3777,2,2.8438240821480667,-0.9093838905892535
RIGHT,3,movement_calibration_steering.csv:3777,3,2.6256555559046726,-0.8388797597644633
STRAIGHT,pre-pulse,movement_calibration_steering.csv:3777,0,2.8430399654675313,
LEFT,1,movement_calibration_steering.csv:3839,1,2.8414183079045943,0.753755455650386
LEFT,2,movement_calibration_steering.csv:3839,2,2.6251233432738594,0.9068683355098948
LEFT,3,movement_calibration_steering.csv:3839,3,2.845015246307622,0.838470799205081
STRAIGHT,pre-pulse,movement_calibration_steering.csv:3839,0,2.630119860090039,
RIGHT,1,movement_calibration_steering.csv:3900,1,2.846215407124422,-0.7902437834470732
RIGHT,2,movement_calibration_steering.csv:3900,2,2.625099016064586,-0.8736167718110304
RIGHT,3,movement_calibration_steering.csv:3900,3,2.83915098159465,-0.9088881129766406
STRAIGHT,pre-pulse,movement_calibration_steering.csv:3900,0,2.6354286117993775,
LEFT,1,movement_calibration_steering.csv:3962,1,2.8434899740717903,0.8231465420641045
LEFT,2,movement_calibration_steering.csv:3962,2,2.6166007312998434,0.8370353929889879
LEFT,3,movement_calibration_steering.csv:3962,3,2.844835858908779,0.9079365978954244
LEFT,4,movement_calibration_steering.csv:3962,4,2.6279572842117442,0.8379911719132882
STRAIGHT,pre-pulse,movement_calibration_steering.csv:3962,0,2.619341506880973,
RIGHT,1,movement_calibration_steering.csv:4041,1,2.849272912392741,-0.8256965801775471
RIGHT,2,movement_calibration_steering.csv:4041,2,2.623620550374,-0.8382968383979614
STRAIGHT,pre-pulse,movement_calibration_steering.csv:4041,0,2.6215992804712243,
LEFT,1,movement_calibration_steering.csv:4093,1,2.8428895593275194,0.8238438076655556
LEFT,2,movement_calibration_steering.csv:4093,2,2.8417617071733003,0.8366792343376703
LEFT,3,movement_calibration_steering.csv:4093,3,2.6260144640285055,0.8730874072549604
STRAIGHT,pre-pulse,movement_calibration_steering.csv:4093,0,2.6330950393460704,
RIGHT,1,movement_calibration_steering.csv:4153,1,2.6236005420563915,-0.7896105787983654
RIGHT,2,movement_calibration_steering.csv:4153,2,2.8453604662104697,-0.8743193478919231
STRAIGHT,pre-pulse,movement_calibration_steering.csv:4153,0,2.8466218673019066,
LEFT,1,movement_calibration_steering.csv:4205,1,2.629094093524639,0.7892511999530127
LEFT,2,movement_calibration_steering.csv:4205,2,2.8434673945572513,0.8734196868888136
STRAIGHT,pre-pulse,movement_calibration_steering.csv:4205,0,2.8443572793632055,
RIGHT,1,movement_calibration_steering.csv:4274,1,2.838192349118072,-0.8240516474076618
RIGHT,2,movement_calibration_steering.csv:4274,2,2.6293080890679534,-0.839135611151506
STRAIGHT,pre-pulse,movement_calibration_steering.csv:4274,0,2.844729995428502,
LEFT,1,movement_calibration_steering.csv:4328,1,2.8362436423841677,0.8294587659091
LEFT,2,movement_calibration_steering.csv:4328,2,2.632909611245831,0.8734146505873435
STRAIGHT,pre-pulse,movement_calibration_steering.csv:4328,0,2.8439668886714675,
RIGHT,1,movement_calibration_steering.csv:4388,1,2.6238004867535363,-0.8315855583158891
RIGHT,2,movement_calibration_steering.csv:4388,2,2.8424003401274742,-0.8737317166497398
STRAIGHT,pre-pulse,movement_calibration_steering.csv:4388,0,2.846322684754478,
LEFT,1,movement_calibration_steering.csv:4439,1,2.8432702797061826,0.8021758726711319
LEFT,2,movement_calibration_steering.csv:4439,2,2.617754516444939,0.8733813368452661
STRAIGHT,pre-pulse,movement_calibration_steering.csv:4439,0,2.6161790526147444,
RIGHT,1,movement_calibration_steering.csv:4500,1,2.6267189256165557,-0.7554125440988027
RIGHT,2,movement_calibration_steering.csv:4500,2,2.8361802923138937,-0.9070548817023605
STRAIGHT,pre-pulse,movement_calibration_steering.csv:4500,0,2.627847988025854,
LEFT,1,movement_calibration_steering.csv:4551,1,2.841313708619272,0.8242443912979387
LEFT,2,movement_calibration_steering.csv:4551,2,2.6267655719181198,0.8370162027876757
STRAIGHT,pre-pulse,movement_calibration_steering.csv:4551,0,2.6341934953517456,
