action,duration_s,n_ticks,distance_cells,heading_change_radians,focused_all
STRAIGHT,0.039779999999998594,3,0.426247249405136,,True
RIGHT,0.059630000000000294,4,0.6393787735374262,,True
LEFT,0.060140000000000526,4,0.6393740044498362,,True
STRAIGHT,0.04000999999999877,3,0.42625125210540904,,True
RIGHT,0.0602999999999998,4,1.064580582920515,,True
LEFT,0.0798299999999994,5,0.8525009637391542,,True
STRAIGHT,0.07996999999999943,5,1.065620344708776,,True
RIGHT,0.060189999999998633,4,0.6393762446414354,,True
LEFT,0.06027999999999878,4,0.6393761596350619,,True
STRAIGHT,0.07994000000000057,5,1.0656271225853002,,True
RIGHT,0.039809999999999235,3,0.42625243995482687,,True
LEFT,0.060140000000000526,4,0.8522456998219198,,True
STRAIGHT,0.07996999999999943,5,1.0656294139205806,,True
RIGHT,0.06027999999999878,4,0.639115242155895,,True
LEFT,0.07998999999999867,5,0.8525031588509688,,True
STRAIGHT,0.10022999999999982,6,1.065626111161441,,True
RIGHT,0.10001000000000104,6,1.0653630258084448,,True
LEFT,0.10017999999999816,6,1.2784869439036628,,True
STRAIGHT,0.08030000000000115,5,0.852494269974648,,True
RIGHT,0.08004999999999995,5,0.8525067417218292,,True
LEFT,0.09978000000000264,6,1.0656278553099996,,True
STRAIGHT,0.11971000000000132,7,1.491879725428773,1.330471965044211e-06,True
RIGHT,0.060069999999999624,4,0.6393743414576064,,True
LEFT,0.08068000000000097,5,1.0653633570207672,,True
STRAIGHT,0.08030000000000115,5,1.06560793400983,,True
RIGHT,0.09991999999999734,6,1.278488801864025,,True
LEFT,0.10013000000000005,6,1.2785024936318334,,True
STRAIGHT,0.07997000000000298,5,1.0655994657286343,,True
RIGHT,0.09971000000000174,6,1.065353428952714,,True
LEFT,0.0800699999999992,5,0.852236892448183,,True
STRAIGHT,0.1000399999999999,6,1.0656365344191254,,True
RIGHT,0.09967999999999932,6,1.2785096707952948,,True
LEFT,0.09969999999999857,6,1.2784977958202164,,True
STRAIGHT,0.0995500000000007,6,1.0656375563718223,,True
RIGHT,0.08042999999999978,5,1.0653750329559675,,True
LEFT,0.08008999999999844,5,0.8524948482717581,,True
STRAIGHT,0.10011000000000081,6,1.0656392002039987,,True
