elapsed_s,player_x,player_z,forward,left,right,jump,focused
0.00000,253.00000,86.00000,0,0,0,0,0
0.02033,253.00000,86.00000,0,0,0,0,0
0.04015,253.00000,86.00000,0,0,0,0,0
0.06037,253.00000,86.00000,0,0,0,0,0
0.08019,253.00000,86.00000,0,0,0,0,0
0.10031,253.00000,86.00000,0,0,0,0,0
0.12025,253.00000,86.00000,0,0,0,0,0
0.14048,253.00000,86.00000,0,0,0,0,0
0.16014,253.00000,86.00000,0,0,0,0,0
0.18047,253.00000,86.00000,0,0,0,0,0
0.20011,253.00000,86.00000,0,0,0,0,0
0.22034,253.00000,86.00000,0,0,0,0,0
0.24053,253.00000,86.00000,0,0,0,0,0
0.26023,253.00000,86.00000,0,0,0,0,0
0.28080,253.00000,86.00000,0,0,0,0,0
0.30017,253.00000,86.00000,0,0,0,0,0
0.32045,253.00000,86.00000,0,0,0,0,0
0.34040,253.00000,86.00000,0,0,0,0,0
0.36010,253.00000,86.00000,0,0,0,0,0
0.38032,253.00000,86.00000,0,0,0,0,0
0.40029,253.00000,86.00000,0,0,0,0,0
0.42011,253.00000,86.00000,0,0,0,0,0
0.44028,253.00000,86.00000,0,0,0,0,0
0.46043,253.00000,86.00000,0,0,0,0,0
0.48011,253.00000,86.00000,0,0,0,0,0
0.50033,253.00000,86.00000,0,0,0,0,0
0.52018,253.00000,86.00000,0,0,0,0,0
0.54046,253.00000,86.00000,0,0,0,0,0
0.56011,253.00000,86.00000,0,0,0,0,0
0.58067,253.00000,86.00000,0,0,0,0,0
0.60031,253.00000,86.00000,0,0,0,0,0
0.62054,253.00000,86.00000,0,0,0,0,0
0.64020,253.00000,86.00000,0,0,0,0,0
0.66048,253.00000,86.00000,0,0,0,0,0
0.68021,253.00000,86.00000,0,0,0,0,0
0.70004,253.00000,86.00000,0,0,0,0,0
0.72052,253.00000,86.00000,0,0,0,0,0
0.74005,253.00000,86.00000,0,0,0,0,0
0.76047,253.00000,86.00000,0,0,0,0,0
0.78018,253.00000,86.00000,0,0,0,0,0
0.80037,253.00000,86.00000,0,0,0,0,0
0.82056,253.00000,86.00000,0,0,0,0,0
0.84021,253.00000,86.00000,0,0,0,0,0
0.86032,253.00000,86.00000,0,0,0,0,0
0.88029,253.00000,86.00000,0,0,0,0,0
0.90053,253.00000,86.00000,0,0,0,0,0
0.92033,253.00000,86.00000,0,0,0,0,0
0.94050,253.00000,86.00000,0,0,0,0,0
0.96010,253.00000,86.00000,0,0,0,0,0
0.98036,253.00000,86.00000,0,0,0,0,0
1.00028,253.00000,86.00000,0,0,0,0,0
1.02013,253.00000,86.00000,0,0,0,0,0
1.04035,253.00000,86.00000,0,0,0,0,0
1.06050,253.00000,86.00000,0,0,0,0,0
1.08040,253.00000,86.00000,0,0,0,0,0
1.10011,253.00000,86.00000,0,0,0,0,0
1.12042,253.00000,86.00000,0,0,0,0,0
1.14058,253.00000,86.00000,0,0,0,0,0
1.16015,253.00000,86.00000,0,0,0,0,0
1.18028,253.00000,86.00000,0,0,0,0,0
1.20004,253.00000,86.00000,0,0,0,0,0
1.22018,253.00000,86.00000,0,0,0,0,0
1.24041,253.00000,86.00000,0,0,0,0,0
1.26029,253.00000,86.00000,0,0,0,0,0
1.28025,253.00000,86.00000,0,0,0,0,0
1.30037,253.00000,86.00000,0,0,0,0,0
1.32020,253.00000,86.00000,0,0,0,0,0
1.34049,253.00000,86.00000,0,0,0,0,0
1.36048,253.00000,86.00000,0,0,0,0,0
1.38041,253.00000,86.00000,0,0,0,0,0
1.40004,253.00000,86.00000,0,0,0,0,0
1.42030,253.00000,86.00000,0,0,0,0,0
1.44042,253.00000,86.00000,0,0,0,0,0
1.46041,253.00000,86.00000,0,0,0,0,0
