timestamp,step,x,y,heading,action,reason,change_score,median_flow_px,tracked_points,collision,pang_visible,pang_score,teleport_suspected,fast_heading,fast_heading_confidence,fast_heading_stale
2026-07-25T12:35:31.726+00:00,1,1,0,0,FORWARD,unknown neighbor,0.02565,18.653,183,False,False,0.3924,False,3.0,0.861,False
2026-07-25T12:35:32.890+00:00,2,1,0,3,TURN_RIGHT,frontier path (about-face),0.03998,33.43,173,False,False,0.3924,False,52.569,0.864,False
2026-07-25T12:35:34.177+00:00,3,1,0,2,TURN_RIGHT,frontier path,0.04367,27.909,148,False,False,0.3925,False,124.953,0.866,False
2026-07-25T12:35:34.559+00:00,4,0,0,2,FORWARD,frontier path,0.02794,13.491,180,False,False,0.3925,False,165.943,0.863,False
2026-07-25T12:35:35.807+00:00,5,0,0,1,TURN_RIGHT,frontier path (about-face),0.0333,36.0,159,False,False,0.3925,False,211.883,0.84,False
2026-07-25T12:35:37.220+00:00,6,0,0,0,TURN_RIGHT,frontier path,0.0273,28.052,105,False,False,0.3978,False,295.592,0.846,False
2026-07-25T12:35:37.620+00:00,7,1,0,0,FORWARD,frontier path,0.02268,20.515,127,False,False,0.3924,False,344.979,0.867,False
2026-07-25T12:35:38.993+00:00,8,1,0,3,TURN_RIGHT,frontier path (about-face),0.03276,22.652,133,False,False,0.3924,False,32.753,0.871,False
2026-07-25T12:35:40.350+00:00,9,1,0,2,TURN_RIGHT,frontier path,0.04104,30.396,157,False,False,0.3924,False,115.802,0.9,False
2026-07-25T12:35:40.753+00:00,10,0,0,2,FORWARD,frontier path,0.03026,23.763,176,False,False,0.3924,False,145.921,0.875,False
2026-07-25T12:35:42.170+00:00,11,0,0,1,TURN_RIGHT,frontier path (about-face),0.04125,53.462,129,False,False,0.3924,False,203.653,0.902,False
2026-07-25T12:35:43.538+00:00,12,0,0,0,TURN_RIGHT,frontier path,0.02802,41.813,144,False,False,0.3924,False,286.236,0.912,False
2026-07-25T12:35:43.936+00:00,13,1,0,0,FORWARD,frontier path,0.01902,9.29,133,False,False,0.4036,False,326.877,0.857,False
2026-07-25T12:35:45.297+00:00,14,1,0,3,TURN_RIGHT,frontier path (about-face),0.02599,26.205,132,False,False,0.3924,False,18.055,0.896,False
2026-07-25T12:35:46.584+00:00,15,1,0,2,TURN_RIGHT,frontier path,0.03923,23.187,128,False,False,0.3924,False,96.856,0.912,False
2026-07-25T12:35:46.980+00:00,16,0,0,2,FORWARD,frontier path,0.02898,22.707,174,False,False,0.3925,False,126.287,0.905,False
2026-07-25T12:35:48.392+00:00,17,0,0,1,TURN_RIGHT,frontier path (about-face),0.03795,29.511,162,False,False,0.3924,False,189.673,0.893,False
