timestamp,step,x,y,continuous_x,continuous_y,position_known,heading_known,pose_known,heading_index,heading_deg,action,reason,frame_sequence,requested_seconds,held_seconds,change_score,flow_dx_px,flow_dy_px,median_flow_px,flow_dispersion_px,flow_confidence,flow_inlier_ratio,tracked_points,flow_detected_points,flow_valid_tracks,flow_moving_points,flow_moving_ratio,flow_spatial_coverage,flow_occupied_regions,flow_translation_coherence,flow_expansion_coherence,flow_camera_model,motion_debug_path,motion_outcome,distance_cells,expected_flow_px,observed_motion_px,flow_residual_px,maximum_flow_residual_px,flow_validation_reason,odometry_integrated,collision,pang_visible,pang_score,teleport_suspected,fast_heading,fast_heading_confidence,fast_heading_uncertainty,fast_heading_stale,strict_heading,strict_heading_confidence,strict_heading_uncertainty,stop_reason
2026-07-26T15:01:44.615+00:00,1,0,1,-0.0207,1.0253,True,True,True,1,358.846,FORWARD,unknown neighbor,2494,0.12,0.12306,0.02642,-0.91,23.05,26.888,16.041,0.944,0.439,171,240,205,171,0.834,0.917,11,0.846,0.725,translation,motion_debug\step_0001_forward_motion.json,moved,1.0255,,26.888,,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3873,False,358.846,0.909,1.269,False,358.846,0.891,1.269,
2026-07-26T15:01:45.300+00:00,2,0,2,-0.0409,2.032,True,True,True,1,358.846,FORWARD,unknown neighbor,2540,0.12,0.12083,0.02771,-2.459,21.545,25.471,18.894,0.946,0.43,172,243,203,172,0.847,0.917,11,0.841,0.766,mixed,motion_debug\step_0002_forward_motion.json,moved,1.0069,26.888,25.471,1.417,,distributed visual travel confirmed (mixed camera evidence),True,False,False,0.3873,False,358.846,0.909,1.269,False,358.846,0.891,1.269,
2026-07-26T15:01:46.005+00:00,3,0,3,-0.0616,3.0554,True,True,True,1,358.846,FORWARD,unknown neighbor,2584,0.12,0.12283,0.02746,-5.501,10.336,12.595,10.638,0.948,0.438,169,252,196,169,0.862,0.833,10,0.831,0.684,translation,motion_debug\step_0003_forward_motion.json,moved,1.0236,26.321,12.595,13.726,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3873,False,358.846,0.909,1.269,False,358.846,0.891,1.269,
2026-07-26T15:01:46.623+00:00,4,0,4,-0.0818,4.0604,True,True,True,1,358.846,FORWARD,unknown neighbor,2630,0.12,0.12063,0.02809,-5.825,10.42,11.699,5.18,0.943,0.467,165,259,193,165,0.855,0.667,8,0.803,0.631,translation,,moved,1.0053,20.831,11.699,9.131,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3874,False,358.846,0.909,1.269,False,358.846,0.891,1.269,
2026-07-26T15:01:47.250+00:00,5,0,5,-0.1024,5.0804,True,True,True,1,358.846,FORWARD,unknown neighbor,2670,0.12,0.12242,0.03087,-6.58,12.407,15.223,8.335,0.945,0.461,152,249,182,152,0.835,0.667,8,0.856,0.656,translation,,moved,1.0202,17.749,15.223,2.526,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3886,False,358.846,0.909,1.269,False,358.846,0.891,1.269,
2026-07-26T15:01:47.886+00:00,6,0,6,-0.1226,6.0841,True,True,True,1,358.846,FORWARD,unknown neighbor,2712,0.12,0.12047,0.02728,-5.349,8.089,9.696,4.198,0.938,0.745,145,215,177,145,0.819,0.583,7,0.829,0.645,translation,,moved,1.0039,17.067,9.696,7.371,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3876,False,358.846,0.909,1.269,False,358.846,0.891,1.269,
2026-07-26T15:01:48.508+00:00,7,0,7,-0.1428,7.0875,True,True,True,1,358.846,FORWARD,unknown neighbor,2753,0.12,0.12044,0.02561,-0.664,7.881,9.709,3.912,0.927,0.727,139,204,175,139,0.794,0.667,8,0.786,0.594,translation,,moved,1.0036,15.408,9.709,5.699,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3873,False,358.846,0.909,1.269,False,358.846,0.891,1.269,
2026-07-26T15:01:49.125+00:00,8,0,8,-0.1632,8.1019,True,True,True,1,358.846,FORWARD,unknown neighbor,2794,0.12,0.12174,0.02416,-1.004,8.372,10.262,4.394,0.925,0.733,150,201,190,150,0.789,0.833,10,0.782,0.599,translation,,moved,1.0145,14.309,10.262,4.047,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3862,False,358.846,0.909,1.269,False,358.846,0.891,1.269,
2026-07-26T15:01:49.745+00:00,9,0,9,-0.1834,9.1042,True,True,True,1,358.846,FORWARD,unknown neighbor,2835,0.12,0.12031,0.024,-3.158,7.993,12.007,5.08,0.912,0.691,162,220,202,162,0.802,0.833,10,0.656,0.648,mixed,,moved,1.0026,13.626,12.007,1.62,,distributed visual travel confirmed (mixed camera evidence),True,False,False,0.3865,False,358.846,0.909,1.269,False,358.846,0.891,1.269,
2026-07-26T15:01:50.383+00:00,10,0,10,-0.2037,10.1087,True,True,True,1,358.846,FORWARD,unknown neighbor,2876,0.12,0.12057,0.02495,-7.45,10.685,14.863,4.267,0.929,0.574,148,200,187,148,0.791,0.833,10,0.764,0.805,mixed,,moved,1.0047,13.383,14.863,1.479,,distributed visual travel confirmed (mixed camera evidence),True,False,False,0.3867,False,358.846,0.909,1.269,False,358.846,0.891,1.269,
