timestamp,map_name,step,x,y,continuous_x,continuous_y,position_known,heading_known,pose_known,heading_index,heading_deg,action,reason,frame_sequence,requested_seconds,held_seconds,change_score,flow_dx_px,flow_dy_px,median_flow_px,flow_dispersion_px,flow_confidence,flow_inlier_ratio,tracked_points,flow_detected_points,flow_valid_tracks,flow_moving_points,flow_moving_ratio,flow_spatial_coverage,flow_occupied_regions,flow_translation_coherence,flow_expansion_coherence,flow_camera_model,motion_debug_path,motion_outcome,distance_cells,expected_flow_px,observed_motion_px,flow_residual_px,maximum_flow_residual_px,flow_validation_reason,odometry_integrated,collision,pang_visible,pang_score,teleport_suspected,fast_heading,fast_heading_confidence,fast_heading_uncertainty,fast_heading_stale,strict_heading,strict_heading_confidence,strict_heading_uncertainty,recovery_reason,recovery_requires_spawn_reset,stop_reason
2026-07-26T16:57:54.768+00:00,Tower AoE,1,0,0,0.0,0.0,True,True,True,0,94.367,TURN_RIGHT,unknown neighbor,18306,0.0324,0.0348,,,,,,,,,,,,,,,,,,,turn,,,,,,,False,False,False,0.3974,False,94.367,0.873,1.456,False,94.367,0.844,1.456,,False,
2026-07-26T16:57:55.471+00:00,Tower AoE,2,0,0,0.0,0.0,True,True,True,0,93.791,FORWARD,unknown neighbor,18336,0.12,0.12019,0.03953,0.0,0.0,0.031,0.035,0.0,0.0,0,34,27,0,0.0,0.0,0,0.0,0.0,none,motion_debug\step_0002_forward_motion.json,blocked,0.0,18.382,0.031,18.351,,world flow collapsed after forward input while only local animation changed; obstacle or impassable boundary likely,False,True,False,0.3976,False,93.983,0.88,1.371,False,93.791,0.865,1.371,,False,
2026-07-26T16:57:56.169+00:00,Tower AoE,3,1,0,1.0005,-0.0663,True,True,True,0,93.791,FORWARD,unknown neighbor,18381,0.12,0.12033,0.03077,-40.878,4.122,42.967,11.623,0.886,0.323,62,159,94,62,0.66,0.5,6,0.697,0.03,translation,motion_debug\step_0003_forward_motion.json,moved,1.0027,18.382,42.967,24.585,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3787,False,93.855,0.883,1.371,False,93.791,0.865,1.371,,False,
2026-07-26T16:57:56.792+00:00,Tower AoE,4,2,0,2.0068,-0.133,True,True,True,0,93.791,FORWARD,unknown neighbor,18426,0.12,0.12101,0.02399,7.814,15.188,19.867,16.235,0.949,0.444,126,174,157,126,0.803,0.667,8,0.942,0.663,translation,,moved,1.0084,19.857,19.867,0.01,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3776,False,93.812,0.886,1.371,False,93.791,0.865,1.371,,False,
2026-07-26T16:57:57.405+00:00,Tower AoE,5,3,0,3.0078,-0.1993,True,True,True,0,93.791,FORWARD,unknown neighbor,18468,0.12,0.12039,0.02483,7.895,13.914,16.256,9.947,0.954,0.5,134,190,162,134,0.827,0.667,8,0.938,0.603,translation,,moved,1.0032,19.858,16.256,3.602,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3843,False,93.798,0.887,1.371,False,93.791,0.865,1.371,,False,
2026-07-26T16:57:58.045+00:00,Tower AoE,6,4,0,4.0092,-0.2656,True,True,True,0,93.791,FORWARD,unknown neighbor,18512,0.12,0.12044,0.02348,3.52,9.136,10.072,4.371,0.951,0.655,119,181,146,119,0.815,0.667,8,0.939,0.526,translation,,moved,1.0036,19.469,10.072,9.396,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3876,False,93.793,0.888,1.371,False,93.791,0.865,1.371,,False,
2026-07-26T16:57:58.670+00:00,Tower AoE,7,5,0,5.009,-0.3319,True,True,True,0,93.791,FORWARD,unknown neighbor,18555,0.12,0.12023,0.02149,3.795,9.817,10.256,3.708,0.949,0.652,132,170,162,132,0.815,0.583,7,0.921,0.492,translation,,moved,1.0019,18.454,10.256,8.198,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3783,False,93.792,0.889,1.371,False,93.791,0.865,1.371,,False,
2026-07-26T16:57:59.299+00:00,Tower AoE,8,6,0,6.0165,-0.3986,True,True,True,0,93.791,FORWARD,unknown neighbor,18595,0.12,0.12116,0.02165,3.986,9.515,10.601,5.083,0.954,0.678,152,184,181,152,0.84,0.583,7,0.919,0.548,translation,,moved,1.0097,17.569,10.601,6.968,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3785,False,93.791,0.889,1.371,False,93.791,0.865,1.371,,False,
2026-07-26T16:57:59.911+00:00,Tower AoE,9,7,0,7.0496,-0.4671,True,True,True,0,93.791,FORWARD,unknown neighbor,18638,0.12,0.12425,0.02209,3.749,10.103,11.397,5.359,0.955,0.728,136,177,163,136,0.834,0.583,7,0.932,0.543,translation,,moved,1.0354,16.816,11.397,5.419,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3787,False,93.791,0.889,1.371,False,93.791,0.865,1.371,,False,
2026-07-26T16:58:00.527+00:00,Tower AoE,10,8,-1,8.0668,-0.5345,True,True,True,0,93.791,FORWARD,unknown neighbor,18680,0.12,0.12233,0.02354,4.246,11.955,12.948,5.015,0.953,0.743,144,180,171,144,0.842,0.667,8,0.903,0.489,translation,,moved,1.0194,16.231,12.948,3.283,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3789,False,93.791,0.889,1.371,False,93.791,0.865,1.371,,False,
2026-07-26T16:58:01.161+00:00,Tower AoE,11,9,-1,9.0688,-0.6009,True,True,True,0,93.791,FORWARD,unknown neighbor,18723,0.12,0.12051,0.02263,3.945,11.273,12.342,5.265,0.945,0.736,144,180,175,144,0.823,0.833,10,0.875,0.596,translation,,moved,1.0043,15.876,12.342,3.534,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3785,False,93.791,0.889,1.371,False,93.791,0.865,1.371,,False,
2026-07-26T16:58:01.779+00:00,Tower AoE,12,10,-1,10.0716,-0.6673,True,True,True,0,93.791,FORWARD,unknown neighbor,18765,0.12,0.12059,0.02442,4.754,13.493,15.042,6.253,0.964,0.606,165,198,189,165,0.873,0.667,8,0.937,0.503,translation,,moved,1.0049,15.495,15.042,0.453,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3879,False,93.791,0.89,1.371,False,93.791,0.865,1.371,,False,
2026-07-26T16:58:02.406+00:00,Tower AoE,13,11,-1,11.0706,-0.7335,True,True,True,0,93.791,FORWARD,unknown neighbor,18808,0.12,0.12015,0.02744,5.641,14.874,16.561,7.313,0.955,0.603,189,243,224,189,0.844,0.75,9,0.92,0.588,translation,,moved,1.0012,15.446,16.561,1.116,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3788,False,93.791,0.89,1.371,False,93.791,0.865,1.371,,False,
2026-07-26T16:58:03.034+00:00,Tower AoE,14,12,-1,12.0716,-0.7998,True,True,True,0,93.791,FORWARD,unknown neighbor,18852,0.12,0.12038,0.02893,5.032,13.13,15.221,4.153,0.953,0.599,182,259,212,182,0.858,0.833,10,0.877,0.665,translation,,moved,1.0032,15.513,15.221,0.291,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.379,False,93.791,0.89,1.371,False,93.791,0.865,1.371,,False,
2026-07-26T16:58:03.658+00:00,Tower AoE,15,13,-1,13.074,-0.8662,True,True,True,0,93.791,FORWARD,unknown neighbor,18895,0.12,0.12054,0.03233,5.622,15.198,16.912,5.382,0.952,0.571,170,260,201,170,0.846,0.833,10,0.893,0.542,translation,,moved,1.0045,15.481,16.912,1.431,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3806,False,93.791,0.89,1.371,False,93.791,0.865,1.371,,False,
2026-07-26T16:58:04.296+00:00,Tower AoE,16,14,-1,14.0777,-0.9327,True,True,True,0,93.791,FORWARD,unknown neighbor,18939,0.12,0.12071,0.03092,5.563,14.595,15.898,5.299,0.958,0.602,196,262,224,196,0.875,0.75,9,0.887,0.589,translation,,moved,1.0059,15.567,15.898,0.332,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3787,False,93.791,0.89,1.371,False,93.791,0.865,1.371,,False,
2026-07-26T16:58:04.914+00:00,Tower AoE,17,15,-1,15.0794,-0.9991,True,True,True,0,93.791,FORWARD,unknown neighbor,18981,0.12,0.12047,0.03325,6.008,15.499,17.556,6.19,0.96,0.575,221,294,247,221,0.895,0.917,11,0.872,0.603,translation,,moved,1.0039,15.587,17.556,1.969,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3784,False,93.791,0.89,1.371,False,93.791,0.865,1.371,,False,
2026-07-26T16:58:05.532+00:00,Tower AoE,18,16,-1,16.0792,-1.0654,True,True,True,0,93.791,FORWARD,unknown neighbor,19019,0.12,0.12024,0.03639,7.813,17.239,19.714,5.626,0.963,0.542,240,314,264,240,0.909,1.0,12,0.869,0.677,translation,,moved,1.002,15.705,19.714,4.009,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3782,False,93.791,0.89,1.371,False,93.791,0.865,1.371,,False,
2026-07-26T16:58:06.153+00:00,Tower AoE,19,17,-1,17.0802,-1.1317,True,True,True,0,93.791,FORWARD,unknown neighbor,19062,0.12,0.12038,0.03982,8.784,23.788,27.044,5.255,0.972,0.614,272,347,294,272,0.925,1.0,12,0.912,0.677,translation,,moved,1.0032,15.946,27.044,11.099,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3982,False,93.791,0.89,1.371,False,93.791,0.865,1.371,,False,
2026-07-26T16:58:06.781+00:00,Tower AoE,20,18,-1,18.0795,-1.1979,True,True,True,0,93.791,FORWARD,unknown neighbor,19106,0.12,0.12017,0.04385,10.587,26.732,30.645,5.532,0.976,0.522,272,336,290,272,0.938,1.0,12,0.92,0.693,translation,,moved,1.0014,16.611,30.645,14.034,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3835,False,93.791,0.89,1.371,False,93.791,0.865,1.371,,False,
2026-07-26T16:58:07.418+00:00,Tower AoE,21,19,-1,19.0781,-1.2641,True,True,True,0,93.791,FORWARD,unknown neighbor,19150,0.12,0.1201,0.04668,9.86,25.716,29.553,5.167,0.975,0.462,273,423,288,273,0.948,1.0,12,0.896,0.732,translation,,moved,1.0008,17.454,29.553,12.1,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3842,False,93.791,0.89,1.371,False,93.791,0.865,1.371,,False,
2026-07-26T16:58:08.056+00:00,Tower AoE,22,20,-1,20.0787,-1.3304,True,True,True,0,93.791,FORWARD,unknown neighbor,19195,0.12,0.12034,0.05112,13.012,32.464,36.211,11.54,0.975,0.454,262,450,276,262,0.949,0.917,11,0.897,0.784,translation,,moved,1.0028,18.179,36.211,18.032,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3923,False,93.791,0.89,1.371,False,93.791,0.865,1.371,,False,
2026-07-26T16:58:08.680+00:00,Tower AoE,23,21,-1,21.0803,-1.3967,True,True,True,0,93.791,FORWARD,unknown neighbor,19235,0.12,0.12046,0.04602,12.594,35.542,38.387,12.396,0.97,0.391,238,388,262,238,0.908,0.917,11,0.921,0.794,translation,,moved,1.0038,19.261,38.387,19.125,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.4069,False,93.791,0.89,1.371,False,93.791,0.865,1.371,,False,
2026-07-26T16:58:09.294+00:00,Tower AoE,24,22,-1,22.0817,-1.4631,True,True,True,0,93.791,FORWARD,unknown neighbor,19278,0.12,0.12043,0.04466,12.13,43.419,47.591,20.635,0.968,0.332,187,378,206,187,0.908,1.0,12,0.908,0.749,translation,,moved,1.0036,20.409,47.591,27.182,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.4066,False,93.791,0.89,1.371,False,93.791,0.865,1.371,,False,
2026-07-26T16:58:09.911+00:00,Tower AoE,25,23,-2,23.0849,-1.5295,True,True,True,0,93.791,FORWARD,unknown neighbor,19319,0.12,0.12065,0.04254,2.951,33.958,33.991,38.295,0.953,0.282,156,319,185,156,0.843,0.917,11,0.904,0.787,translation,,moved,1.0054,22.04,33.991,11.951,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.4045,False,93.791,0.89,1.371,False,93.791,0.865,1.371,,False,
2026-07-26T16:58:10.627+00:00,Tower AoE,26,23,-2,23.0849,-1.5295,True,True,True,0,93.791,FORWARD,unknown neighbor,19360,0.12,0.12176,0.04005,-4.072,9.408,12.104,11.935,0.932,0.437,103,204,134,103,0.769,0.917,11,0.871,0.55,translation,motion_debug\step_0026_forward_motion.json,blocked,0.0,30.099,12.104,17.996,,"forward flow collapsed and rotated away from the established run direction; partial wall slide/contact likely (flow ratio 0.40, direction deviation 43.0°)",False,True,False,0.4142,False,93.791,0.89,1.371,False,93.791,0.865,1.371,,False,
2026-07-26T16:58:11.265+00:00,Tower AoE,27,24,-2,24.0861,-1.5959,True,True,True,0,93.791,FORWARD,unknown neighbor,19406,0.12,0.12041,0.03764,-6.244,10.637,13.122,6.086,0.916,0.55,80,200,120,80,0.667,0.667,8,0.918,0.593,translation,,moved,1.0034,22.757,13.122,9.635,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.4035,False,93.791,0.89,1.371,False,93.791,0.865,1.371,,False,
