timestamp,map_name,step,x,y,continuous_x,continuous_y,position_known,heading_known,pose_known,heading_index,heading_deg,action,reason,rl_shadow_enabled,rl_shadow_action,rl_shadow_agrees,rl_shadow_status,frame_sequence,requested_seconds,held_seconds,change_score,flow_dx_px,flow_dy_px,median_flow_px,flow_dispersion_px,flow_confidence,flow_inlier_ratio,tracked_points,flow_detected_points,flow_valid_tracks,flow_moving_points,flow_moving_ratio,flow_spatial_coverage,flow_occupied_regions,flow_translation_coherence,flow_expansion_coherence,flow_camera_model,motion_debug_path,motion_outcome,distance_cells,expected_flow_px,observed_motion_px,flow_residual_px,maximum_flow_residual_px,flow_validation_reason,odometry_integrated,collision,pang_visible,pang_score,teleport_suspected,fast_heading,fast_heading_confidence,fast_heading_uncertainty,fast_heading_stale,strict_heading,strict_heading_confidence,strict_heading_uncertainty,recovery_reason,recovery_requires_spawn_reset,stop_reason
2026-07-26T17:37:27.855+00:00,Tower AoE,1,0,0,0.0,0.0,True,True,True,2,265.219,TURN_LEFT,unknown neighbor,True,TURN_LEFT,True,ok,2378,0.0235,0.02382,,,,,,,,,,,,,,,,,,,turn,,,,,,,False,False,False,0.3788,False,265.219,0.912,1.252,False,265.219,0.895,1.252,,False,
2026-07-26T17:37:28.605+00:00,Tower AoE,2,-1,0,-1.0037,-0.0528,True,True,True,2,268.754,FORWARD,unknown neighbor,True,FORWARD,True,ok,2403,0.12,0.12062,0.01956,-18.078,13.738,22.146,1.683,0.85,0.629,35,110,57,35,0.614,0.25,3,0.828,0.716,translation,motion_debug\step_0002_forward_motion.json,moved,1.0051,17.685,22.146,4.461,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3787,False,267.665,0.896,1.472,False,268.754,0.839,1.474,,False,
2026-07-26T17:37:29.312+00:00,Tower AoE,3,-2,0,-2.0085,-0.0747,True,True,True,2,268.754,FORWARD,unknown neighbor,True,FORWARD,True,ok,2444,0.12,0.1206,0.01909,4.857,16.256,16.786,5.9,0.934,0.477,65,112,89,65,0.73,0.667,8,0.945,0.24,translation,motion_debug\step_0003_forward_motion.json,moved,1.005,17.952,16.786,1.166,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3785,False,268.385,0.886,1.474,False,268.754,0.839,1.474,,False,
2026-07-26T17:37:29.977+00:00,Tower AoE,4,-3,0,-3.0232,-0.0968,True,True,True,2,268.754,FORWARD,unknown neighbor,True,FORWARD,True,ok,2483,0.12,0.12179,0.01918,1.25,12.676,15.562,6.409,0.915,0.456,79,118,103,79,0.767,0.75,9,0.742,0.167,translation,,moved,1.0149,17.826,15.562,2.265,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3805,False,268.629,0.88,1.474,False,268.754,0.839,1.474,,False,
2026-07-26T17:37:30.613+00:00,Tower AoE,5,-4,0,-4.0262,-0.1186,True,True,True,2,268.754,FORWARD,unknown neighbor,True,FORWARD,True,ok,2517,0.12,0.12039,0.00528,0.462,0.166,2.702,2.717,0.829,0.545,33,113,102,33,0.324,0.417,5,0.152,0.831,perspective-expansion,,moved,1.0033,17.582,2.702,14.879,,distributed visual travel confirmed (perspective-expansion camera evidence),True,False,False,0.3787,False,268.712,0.876,1.474,False,268.754,0.839,1.474,,False,
2026-07-26T17:37:31.507+00:00,Tower AoE,6,-5,0,-5.028,-0.1404,True,True,True,2,268.754,FORWARD,unknown neighbor,True,FORWARD,True,ok,2573,0.12,0.12024,0.00583,-5.434,-0.827,6.131,6.674,0.808,0.581,31,127,103,31,0.301,0.417,5,0.704,0.502,translation,motion_debug\step_0006_forward_recheck_1_motion.json,moved,1.002,15.975,6.131,9.844,,distributed visual travel confirmed (translation camera evidence),True,False,False,0.3787,False,268.753,0.871,1.474,False,268.754,0.839,1.474,,False,
2026-07-26T17:37:32.376+00:00,Tower AoE,7,-5,0,-5.028,-0.1404,True,True,True,2,268.754,FORWARD,unknown neighbor,True,FORWARD,True,ok,2623,0.12,0.12047,0.00373,0.93,0.307,1.177,0.369,0.813,0.792,24,119,108,24,0.222,0.333,4,0.501,0.88,perspective-expansion,motion_debug\step_0007_forward_recheck_1_motion.json,blocked,0.0,15.562,1.177,14.384,,"forward flow collapsed relative to recent same-heading travel; partial wall slide/contact likely (flow ratio 0.08, direction deviation 69.7°)",False,True,False,0.3787,False,268.754,0.87,1.474,False,268.754,0.839,1.474,,False,
2026-07-26T17:37:33.077+00:00,Tower AoE,8,-5,0,-5.028,-0.1404,True,True,True,2,268.754,FORWARD,unknown neighbor,True,FORWARD,True,ok,2655,0.12,0.12044,0.00256,-0.874,-0.44,0.96,0.155,0.522,1.0,8,121,117,8,0.068,0.25,3,0.768,0.056,translation,motion_debug\step_0008_forward_motion.json,blocked,0.0,14.912,0.96,13.952,,two-frame view is effectively static after forward input,False,True,False,0.3787,False,268.754,0.87,1.474,False,268.754,0.839,1.474,,False,
2026-07-26T17:37:39.214+00:00,Tower AoE,9,-5,0,-5.028,-0.1404,True,True,True,1,355.363,TURN_RIGHT,unknown neighbor,True,TURN_RIGHT,True,ok,3023,0.05733,0.05775,,,,,,,,,,,,,,,,,,,turn,,,,,,,False,False,False,0.3788,False,355.363,0.84,1.63,False,355.363,0.801,1.63,,False,
2026-07-26T17:37:39.934+00:00,Tower AoE,10,-5,0,-5.028,-0.1404,False,True,False,1,6.386,FORWARD,unknown neighbor,True,FORWARD,True,ok,3047,0.12,0.12041,0.02035,14.688,4.834,27.259,16.711,0.894,0.3,50,112,79,50,0.633,0.583,7,0.485,0.805,perspective-expansion,motion_debug\step_0010_forward_motion.json,turn,,,,,,,False,False,False,0.3787,False,2.611,0.845,3.775,False,6.386,0.816,1.566,Forward movement changed heading by +11.0°. The new position is not trusted; return manually to the known spawn to continue safely.,True,
