action,tick,distance_cells,heading_change_radians
STRAIGHT,pre-pulse,2.4062306663657775,-5.857536677922326e-13
STRAIGHT,pre-pulse,2.406212168925751,-6.375145097381463e-06
STRAIGHT,pre-pulse,2.625030861523694,-5.989140829942841e-07
STRAIGHT,pre-pulse,2.187489816047724,4.524525228699616e-06
STRAIGHT,pre-pulse,2.4063158447120516,4.6686808312657035e-06
STRAIGHT,pre-pulse,2.6249696444102026,2.454744974400569e-06
STRAIGHT,pre-pulse,2.187475907390596,-1.3521723882803371e-06
STRAIGHT,pre-pulse,2.4062406718183795,1.19989413116528e-06
STRAIGHT,pre-pulse,2.6249913757126766,-8.502833170886959e-08
STRAIGHT,pre-pulse,2.406342483689175,-3.4101408150633006e-06
STRAIGHT,pre-pulse,2.406158623080088,1.4992983758954637e-06
STRAIGHT,pre-pulse,2.4062810091546587,-1.1280783467348954e-06
STRAIGHT,pre-pulse,2.6249903916692756,-3.0916322200091884e-06
STRAIGHT,pre-pulse,2.6250206073288194,-1.8376670498643222e-06
STRAIGHT,pre-pulse,2.6250393840881805,8.773074755552557e-07
STRAIGHT,pre-pulse,2.624981436731525,-1.5259898211716916e-06
STRAIGHT,pre-pulse,2.406291646099094,-4.4280163484788915e-06
STRAIGHT,pre-pulse,2.6249062293715375,5.115075712325279e-06
STRAIGHT,pre-pulse,2.4062156949163924,5.418471598073182e-06
LEFT,1,2.405989616671169,0.5060597538935871
STRAIGHT,pre-pulse,2.6249722274095078,-2.635150865293312e-06
STRAIGHT,pre-pulse,2.625038141138234,-7.556497658711692e-07
STRAIGHT,pre-pulse,2.624900622193361,5.18809128169373e-06
STRAIGHT,pre-pulse,2.4062048893928436,2.4115686516612556e-06
STRAIGHT,pre-pulse,2.4063350512942407,5.0054612830141565e-06
STRAIGHT,pre-pulse,2.6250871347462073,-3.8103224867525043e-06
STRAIGHT,pre-pulse,2.406207829509582,3.3521692341942355e-06
STRAIGHT,pre-pulse,2.6249886284555624,1.452753231045989e-07
STRAIGHT,pre-pulse,2.406160830965594,7.918589211008964e-07
STRAIGHT,pre-pulse,2.4063459559500466,-3.408755971934241e-06
STRAIGHT,pre-pulse,2.624897007231517,4.75654110410062e-06
STRAIGHT,pre-pulse,2.6249489612601993,-2.337408892660875e-06
STRAIGHT,pre-pulse,2.4061533353044595,5.010062234855894e-06
STRAIGHT,pre-pulse,2.406250630241704,-8.613467008533604e-07
STRAIGHT,pre-pulse,2.6250469256623057,-5.5712343651759255e-06
STRAIGHT,pre-pulse,2.8437368605043547,-4.5468282738880816e-07
STRAIGHT,pre-pulse,2.624987861236072,-1.0604850331219495e-12
STRAIGHT,pre-pulse,2.6249729882996844,-2.371392335609457e-06
STRAIGHT,pre-pulse,2.6250380037834233,3.8893577891663256e-06
STRAIGHT,pre-pulse,2.624965082589139,8.468063207311971e-06
STRAIGHT,pre-pulse,2.625023699497089,-2.6645352591003757e-15
STRAIGHT,pre-pulse,2.6249470850469727,-2.7206537489554705e-06
STRAIGHT,pre-pulse,2.6249878471554657,4.504395454851817e-06
STRAIGHT,pre-pulse,2.624969031369742,-6.000663177463395e-07
STRAIGHT,pre-pulse,2.406285347734307,4.218847493575595e-15
STRAIGHT,pre-pulse,2.6249745045090043,8.353874214606094e-08
STRAIGHT,pre-pulse,2.406244117989048,-1.2313021349186215e-06
STRAIGHT,pre-pulse,2.1875036100913197,4.103750803396977e-06
STRAIGHT,pre-pulse,2.406232109945248,4.080238696690941e-06
RIGHT,1,2.405716116150565,-0.7513378516738201
STRAIGHT,pre-pulse,2.1875019259006847,-6.661338147750939e-15
LEFT,1,2.405730919900956,0.7328622444030755
LEFT,2,2.1872382222829714,0.8724520600320549
STRAIGHT,pre-pulse,2.187508208921847,-6.043991053916731e-06
RIGHT,1,2.6241998616064492,-0.7513572846189343
RIGHT,2,2.405715265347312,-0.8387076896110559
RIGHT,3,2.624201953189299,-0.9085950629535469
RIGHT,4,2.405719566769474,-0.629027771113287
STRAIGHT,pre-pulse,2.406241165080306,6.862448720390546e-07
LEFT,1,2.6242011624067674,0.7677550483570472
LEFT,2,2.405707138051366,0.8550058283606546
LEFT,3,2.6241957079827105,0.872454074422377
LEFT,4,2.405726116352053,0.8549958395982271
STRAIGHT,pre-pulse,2.4062240177526952,-2.0737858437147594e-06
RIGHT,1,2.62420476185211,-0.786278943762921
RIGHT,2,2.4057012170140557,-0.8561827039215113
RIGHT,3,2.4057094588180776,-0.8387089040558733
RIGHT,4,2.405717987369989,-0.8736431885694005
STRAIGHT,pre-pulse,2.4062442906983805,9.117937742608717e-07
LEFT,1,2.405729915207544,0.6979586494606549
LEFT,2,2.6242152183054515,0.9073528856042123
LEFT,3,2.4057136416367437,0.8375552152566121
LEFT,4,2.6242073165460855,0.9073518845117576
STRAIGHT,pre-pulse,2.6249467053541666,2.7402524693798114e-12
RIGHT,1,2.405709821210303,-0.7338576282299414
RIGHT,2,2.6242013433701863,-0.873653151930259
RIGHT,3,2.4057155670796893,-0.8736451314688218
RIGHT,4,2.6241914272975353,-0.629031559550317
STRAIGHT,pre-pulse,2.6250192841095696,-7.13757154580108e-06
LEFT,1,2.62420156096977,0.7677568327379439
LEFT,2,2.40571692347064,0.8724498462343141
LEFT,3,2.624199655048208,0.872456435719227
